InLaborForce_CivilianLaborForce_Employed,InLaborForce_CivilianLaborForce_Unemployed,InLaborForce_ArmedForces,NotInLaborForce,stateId
335367,17005,6350,241465,CA-03
263952,27163,6750,229196,CA-21
372363,16714,464,202293,CA-48
334499,23704,43,228335,CA-10
373876,22351,350,208310,CA-34
398767,14966,19847,202020,CA-52
412751,19675,375,204239,CA-30
380274,10338,418,208936,CA-18
345120,17709,5656,215218,CA-20
377243,20144,3261,242123,CA-42
325250,15355,346,217910,CA-25
342648,18975,325,208465,CA-32
377402,19336,646,191761,CA-43
360079,17222,226,212991,CA-35
414325,19199,1078,207797,CA-13
329514,25238,797,198743,CA-44
349517,18877,25341,193964,CA-49
372431,14504,243,210161,CA-05
366746,19035,141,187537,CA-29
367575,20973,409,221764,CA-07
366268,18026,272,200433,CA-39
351242,16064,4773,223618,CA-50
302987,26588,3594,235297,CA-23
306358,34023,18617,220118,CA-51
299668,17742,693,264294,CA-01
327244,21887,0,187139,CA-40
406531,13605,223,224680,CA-45
334061,23790,1218,212797,CA-22
341905,21960,120,238882,CA-09
364788,12522,304,217685,CA-27
417400,13057,105,194164,CA-14
343868,16784,575,227755,CA-02
495986,15285,679,191362,CO-01
363986,14437,687,238085,CO-03
449312,14809,979,214957,CO-04
451258,14800,603,217993,CO-02
448845,17213,3329,181415,CO-06
387826,25916,2617,171460,DC-98
371428,24134,275,205594,CT-03
365038,21403,113,198214,CT-04
360442,17988,8827,199897,CT-02
291799,15154,137,378658,FL-17
342619,13468,889,309246,FL-06
342047,22756,3987,224419,FL-05
368904,19249,400,216379,FL-24
265594,15750,929,420215,FL-11
391921,14481,764,211532,FL-23
333612,19607,2481,303564,FL-08
369451,16684,947,279060,FL-18
391339,30461,602,209454,FL-20
388456,11987,238,258958,FL-25
334880,18613,1941,266355,FL-03
430500,19153,480,192583,FL-10
412241,19156,14199,232566,FL-04
352837,19369,1553,257457,FL-13
382785,15914,2420,225960,FL-26
390837,18308,298,236572,FL-22
431037,18303,229,289963,FL-09
344670,13718,515,355550,FL-19
350550,18230,25682,250009,FL-01
427653,17197,631,227978,FL-07
395896,10833,596,226721,FL-27
342408,15773,2663,232979,GA-03
343102,16927,694,238287,GA-10
388167,21214,139,202745,GA-04
398835,21021,608,225922,GA-05
345417,13022,1102,261378,GA-09
430668,13186,574,199604,GA-07
403838,16148,862,172257,GA-06
322341,19623,19185,232693,GA-01
411915,12478,619,196819,GA-11
309480,17392,6518,226181,GA-08
410039,17038,3106,225429,ID-02
353173,12538,27302,200831,HI-01
330798,28629,138,214121,IL-01
354730,27171,606,215506,IL-07
317623,29494,269,200991,IL-02
436257,12350,96,160552,IL-05
325649,18122,437,231867,IL-13
375841,12184,80,182597,IL-06
356872,15343,10745,179311,IL-10
352458,18039,44,168543,IL-04
360269,13625,632,210398,IL-09
313123,17315,5445,215000,IL-12
382084,15031,267,168667,IL-08
382944,13213,938,224350,IN-09
342185,17367,825,216624,IN-08
331606,18801,176,224348,IN-01
409413,14986,505,201168,IN-05
365524,24526,445,208072,IN-07
399688,15738,94,205220,IA-01
392326,16770,482,221707,IA-02
339960,12268,12069,184460,KS-01
414921,13401,933,179127,KS-03
354073,12849,3519,202935,KS-02
374632,18762,361,231423,KY-06
297611,15460,8271,258872,KY-01
233561,18947,263,302673,KY-05
287460,18647,13455,264217,LA-04
362298,29934,1530,235192,LA-02
371255,16370,2786,246632,LA-01
287930,16834,1823,276935,LA-05
369546,11288,1456,195985,ME-01
314867,13183,895,220948,ME-02
369772,12421,1129,220606,MD-01
406837,20206,8996,185786,MD-03
405458,21444,4649,169726,MD-04
387982,17513,5153,196988,MD-05
346992,22597,656,217786,MD-07
372671,19753,7862,198539,MD-02
397929,16351,1531,201065,MD-06
411229,17071,3597,192129,MD-08
406924,14323,307,201749,MA-04
472007,23081,444,200411,MA-07
399501,17577,437,216077,MA-02
375363,15266,1326,230464,MA-09
433680,15632,549,190658,MA-08
357576,17291,1125,220623,MA-01
431505,14047,431,186643,MA-05
311167,16958,729,256844,MI-01
370603,14488,592,206289,MI-02
305737,26177,217,213856,MI-14
378444,17844,493,201369,MI-03
288175,23521,346,232151,MI-05
285246,26419,62,210950,MI-13
373853,17710,530,205320,MI-09
381335,17858,173,208877,MI-08
335990,11108,257,180524,MN-07
398498,12463,808,153811,MN-06
361919,8910,489,167068,MN-01
399997,10152,259,168482,MN-03
412946,17002,240,159061,MN-05
372107,16757,581,244074,NC-13
364566,16242,2462,242520,NC-09
405699,10920,7861,178502,ND-00
352217,14858,220,215193,OH-02
302868,15199,55,249980,OH-06
345995,13151,208,216982,OH-04
372107,11775,44,204311,OH-16
309392,32455,418,216377,OH-11
351301,15827,1227,216961,OH-08
392588,19807,1059,215886,OK-01
388111,17972,3025,232265,OK-05
466910,20759,253,220880,OR-03
373269,23464,758,291325,OR-04
268026,11976,2805,155047,RI-01
314021,15657,750,240144,SC-03
318566,17132,476,273348,SC-07
280920,20204,8186,233997,SC-06
335644,20492,366,251521,TN-03
304338,18449,625,252229,AL-01
312851,19545,4271,242079,AL-03
342119,15243,1770,235517,AL-05
293868,13277,364,242205,AL-04
275529,20067,134,243936,AL-07
285238,13470,8979,232307,AL-02
339524,11571,750,207198,AL-06
338011,20650,19067,191971,AK-00
301393,22260,624,298831,AZ-01
346135,29039,2786,228802,AZ-03
410184,16325,510,233981,AZ-05
307949,17416,4361,359864,AZ-04
391716,22664,722,217664,AZ-07
325435,16097,11147,256483,AZ-02
418800,14938,0,244142,AZ-06
353220,16762,3466,275170,AZ-08
379820,19333,249,250229,AR-03
353600,13598,4443,240163,AR-02
301378,23328,717,295596,CA-36
376252,16922,580,187043,CA-46
361761,16442,982,207708,CA-33
403744,14370,1094,203448,CA-15
362313,17597,1144,199490,CA-47
324141,12537,1132,227351,TN-08
370970,13437,551,257867,TN-06
337546,21462,206,204139,TX-29
326655,17129,2769,237424,TX-27
346422,13812,333,238024,TX-14
353882,15117,258,224243,TX-05
472392,20492,451,218848,TX-10
433582,18311,2696,219729,TX-35
475679,16272,813,233802,TX-22
338457,9359,5484,218135,TX-19
385883,13997,687,177269,UT-03
389942,10905,623,201812,UT-02
346272,23109,27804,208820,VA-03
373694,20613,9419,224554,VA-04
340461,14606,55203,180587,VA-02
367673,12427,500,241459,VA-06
406234,14716,725,204689,WA-01
329581,21230,4060,241056,WA-05
374100,17406,10726,222482,WA-02
319087,17033,19938,246163,WA-06
208431,17525,356,241064,WV-03
357686,15878,843,203479,WI-01
399779,13107,195,191353,WI-05
432620,9626,1045,186467,WI-02
