LessThan9thGrade,9thTo12thGrade_NoDiploma,HighSchoolGraduate(includesEquivalency),SomeCollege_NoDegree,AssociatesDegree,BachelorsDegree,GraduateOrProfessionalDegree,stateId
19147,34063,130501,154779,52528,84729,46732,CA-03
38289,47314,120071,98889,26895,33208,12255,CA-21
16708,23378,84522,116440,44937,147596,80238,CA-48
25737,37231,151837,150451,40798,62645,22387,CA-10
40303,35079,91452,82893,28060,100137,38340,CA-34
7965,14275,71272,122384,36894,184065,123858,CA-52
18357,20484,88229,120710,42353,158670,80229,CA-30
7307,8887,57232,79375,29894,156056,147897,CA-18
22630,25136,96421,117921,43048,85444,55678,CA-20
19234,29466,150665,167794,54187,96761,47354,CA-42
24316,35955,120964,134577,46500,86981,41377,CA-25
36710,36725,127114,117503,36156,74675,27992,CA-32
27433,37252,100422,117405,32739,95824,39955,CA-43
29993,50417,130493,128596,31595,63014,21380,CA-35
19873,25454,81823,101717,29218,163239,120373,CA-13
41856,47037,109599,115842,26120,49411,16092,CA-44
15685,17819,89587,118159,43837,142867,91263,CA-49
15839,26739,114171,143754,49748,108245,61569,CA-05
39756,42182,100447,98981,33667,79735,21769,CA-29
14341,26452,117078,148814,59032,115240,56151,CA-07
14907,19635,92627,117910,41592,134111,65589,CA-39
20879,28245,125276,148607,47626,100681,53281,CA-50
19019,43182,138774,143007,52348,70598,32709,CA-23
31137,46021,131079,129894,37545,49389,18460,CA-51
11274,36340,141854,167597,58255,90654,42340,CA-01
39334,42243,101025,90440,21228,30526,9495,CA-40
7763,17332,71264,122469,41765,168975,107865,CA-45
23289,31254,114824,138967,59326,78072,39747,CA-22
28637,39391,155950,127842,46639,74498,33508,CA-09
24829,20681,82765,92651,38722,133231,89365,CA-27
20624,20576,79857,98449,40504,147324,94469,CA-14
8395,27856,99726,134347,45927,138015,76773,CA-02
15435,26596,113486,120437,33844,208363,117755,CO-01
11605,33606,151431,147909,48795,121253,56866,CO-03
15387,32375,154179,145403,56472,136090,78471,CO-04
5709,16762,99191,142651,47737,198039,129047,CO-02
11329,26439,120486,121361,48401,152997,88281,CO-06
12142,24518,93821,92396,16577,138796,158518,DC-98
13117,33656,171313,112493,35067,99665,79936,CT-03
15525,21031,95187,74202,30443,142869,108305,CT-04
8212,28278,158673,127429,46126,107130,72478,CT-02
18834,52594,227690,138166,60035,87274,51338,FL-17
14525,41978,212734,145106,69946,94165,52287,FL-06
18538,59244,187451,137038,47385,67972,36350,FL-05
35990,41274,150395,97688,46326,59615,32897,FL-24
13853,55867,224771,157885,68680,89827,58786,FL-11
11849,24417,115421,105572,59259,122882,73059,FL-23
10077,41909,176192,135817,74219,111358,65687,FL-08
14668,38851,167729,133129,61638,117781,70787,FL-18
24467,47600,168377,103233,51071,64719,32393,FL-20
38831,53985,124777,80234,46268,76775,45812,FL-25
12180,39257,172986,134450,65899,93486,61490,FL-03
19010,46542,134370,114926,52090,113405,55038,FL-10
10522,29635,152153,130698,60105,159259,82702,FL-04
14156,38913,161793,132132,58960,118883,60201,FL-13
27302,44762,130478,91520,54372,92093,41085,FL-26
14918,22836,124958,119180,49273,135761,82689,FL-22
25093,50971,200754,141551,73805,101876,47705,FL-09
15933,38330,182015,132222,59576,129638,79811,FL-19
