Owner_occupiedHousingUnits_LessThanHighSchoolGraduate,Owner_occupiedHousingUnits_HighSchoolGraduate(includingEquivalency),Owner_occupiedHousingUnits_SomeCollegeOrAssociatesDegree,Owner_occupiedHousingUnits_BachelorsDegreeOrHigher,Renter_occupiedHousingUnits_LessThanHighSchoolGraduate,Renter_occupiedHousingUnits_HighSchoolGraduate(includingEquivalency),Renter_occupiedHousingUnits_SomeCollegeOrAssociatesDegree,Renter_occupiedHousingUnits_BachelorsDegreeOrHigher,stateId
11453,27457,60696,53349,12723,21090,44199,24188,CA-03
30623,21412,31423,18509,40262,25960,23086,5342,CA-21
6040,15089,43994,82690,13248,20482,37737,45519,CA-48
16790,34248,58310,34284,20675,28639,33097,12872,CA-10
10441,8187,10994,22066,56728,37713,43485,67735,CA-34
3808,7732,31068,111367,6545,13659,37052,76463,CA-52
7091,16951,37870,83483,13802,22892,40526,60310,CA-30
2785,9297,26561,121344,6844,13147,21725,70155,CA-18
16765,17993,37304,53768,25520,17016,34422,28344,CA-20
14334,33422,67939,54223,6636,15723,26139,17607,CA-42
17490,28603,51735,56836,10271,16815,26053,13279,CA-25
18671,26618,34172,35920,22859,22727,27032,14443,CA-32
14939,18619,29452,41458,29516,30315,41237,40567,CA-43
22543,25342,40141,29907,25846,19030,26232,12928,CA-35
9175,13060,23244,84828,18222,23570,41256,81541,CA-13
26565,17880,27082,21282,36852,22378,28027,10964,CA-44
8244,14763,41180,96968,11291,13745,29304,38408,CA-49
9771,25664,57120,73679,14207,21914,39191,27134,CA-05
19323,17517,24624,26873,38386,26302,30738,28108,CA-29
8368,24215,66211,77825,9340,21041,39942,25829,CA-07
7944,16366,47488,81408,8518,16815,23869,27329,CA-39
10251,26207,56091,63364,14263,21915,33890,19576,CA-50
15160,33374,59359,47049,14934,24307,37640,15837,CA-23
17164,21275,30168,22226,38378,30196,35407,13037,CA-51
11977,35708,76437,53861,7588,24959,42121,18672,CA-01
20928,11342,16018,10829,55999,28968,27488,7848,CA-40
4595,12544,47171,112316,6182,13085,30430,55642,CA-45
17834,25707,56527,52676,18439,22323,40126,17364,CA-22
16182,31837,52141,47905,24304,27846,28643,12906,CA-09
7379,15081,31546,75720,13915,22650,25622,51784,CA-27
10233,15614,36353,87522,10588,16800,25093,52927,CA-14
7309,22410,56406,92319,10898,17398,42507,36613,CA-02
10634,23796,38016,121935,13739,30656,44900,84822,CO-01
13795,49073,69460,81185,9084,23364,38169,19658,CO-03
14228,40487,72148,106134,10978,23157,29627,21932,CO-04
4073,22490,53474,143988,4908,17284,37866,49691,CO-02
8979,25163,59751,112897,9122,19321,34155,32099,CO-06
4822,9743,15928,90495,15164,28890,33846,92682,DC-98
8008,46951,39920,75953,14427,33408,26832,33605,CT-03
7426,24128,31026,107374,15505,21161,19705,37663,CT-04
7561,46507,56319,86692,7388,28428,26542,19218,CT-02
19110,73077,80197,73044,9492,22671,22560,10108,FL-17
14697,63505,79198,71314,8126,29174,28699,16261,FL-06
14665,41160,49515,38608,20381,40813,51019,25347,FL-05
19926,32551,30937,31223,22923,45306,43794,27592,FL-24
19113,76956,98185,79098,8678,23342,23940,11368,FL-11
10882,38852,47712,83627,6147,22740,33105,34195,FL-23
13309,52768,79466,86669,5419,17788,25826,18340,FL-08
17424,50465,74766,89669,8154,20207,23289,20326,FL-18
18027,41175,41387,42159,17737,41267,37706,21053,FL-20
25391,30834,36160,49383,31408,29842,23940,25262,FL-25
10121,42294,60523,66753,8538,26822,37006,27668,FL-03
13859,34273,44140,64577,13814,27341,31874,32318,FL-10
9003,38420,63217,112559,7764,20569,32071,34097,FL-04
13453,40865,63183,82419,9380,23715,32929,31269,FL-13
15344,36814,43493,52518,18098,26644,22801,19325,FL-26
9690,35488,57344,99406,10701,23449,34568,38899,FL-22
18888,48977,64361,58705,10725,30901,33688,27481,FL-09
13031,52253,72213,104887,9302,22957,24618,22219,FL-19
10166,44617,75299,67106,11310,25819,37356,22010,FL-01
6579,30366,49813,90380,7616,28130,43762,45110,FL-07
12350,17819,31682,67817,25804,34617,34751,62491,FL-27
17419,47874,61992,63277,10724,27072,28920,13781,GA-03
15963,51056,53121,70235,11729,25382,25115,18850,GA-10
11287,35473,52045,68557,16303,25608,39668,22872,GA-04
8133,23224,31327,90910,15280,39227,42483,78342,GA-05
23323,54907,64657,63114,14207,21434,20748,10731,GA-09
11243,25740,43278,107156,11713,17538,28417,28898,GA-07
3258,14075,29499,146068,8405,12195,25475,58877,GA-06
14437,43875,57694,56882,13562,30358,39281,20827,GA-01
10764,30594,52384,100903,13218,19752,32961,38848,GA-11
17445,50597,53708,46193,15089,31986,32320,15867,GA-08
14553,46469,76596,75215,10719,26301,40891,23586,ID-02
5948,24275,41466,65028,8077,25972,36794,35880,HI-01
10719,34300,52398,66823,14091,26697,41485,25216,IL-01
11218,16177,25349,75681,26320,35684,41232,75254,IL-07
11698,39469,57465,46473,13225,32118,41972,17460,IL-02
10199,22871,33018,101276,7419,19884,24987,83898,IL-05
8917,50588,54970,63736,8908,28258,35943,32181,IL-13
5745,30926,50257,128220,3429,9888,17529,20767,IL-06
12965,28057,41493,94321,10696,17017,23695,25203,IL-10
22227,23703,22254,35608,23758,38228,26621,34658,IL-04
6906,20543,31653,114449,9588,17625,25841,58880,IL-09
12362,49258,71748,56177,11333,26851,37733,17372,IL-12
12342,35807,53302,71593,12479,20936,24620,24605,IL-08
12730,62986,67999,66758,8184,26286,25519,16622,IN-09
12634,72123,65817,53073,10066,32498,27352,12767,IN-08
13121,66734,60276,56571,9124,30758,29602,13008,IN-01
7347,40497,53123,122879,6699,24130,25638,32762,IN-05
14042,43185,45510,49288,25460,48106,41235,29968,IN-07
10507,69979,78726,71874,7351,29026,31077,15890,IA-01
12276,62162,70554,71416,9383,29435,38244,22830,IA-02
13470,46893,66088,54785,10509,26323,35254,19082,KS-01
8795,24761,50211,116796,7832,22562,30426,36496,KS-03
8304,51883,64181,65202,8115,28887,37428,22494,KS-02
14235,45359,51645,78234,13640,32583,41729,32253,KY-06
22760,73217,59690,38842,14373,35010,28840,11336,KY-01
40410,68850,47050,32857,16955,28737,22967,8310,KY-05
19246,65781,53705,50193,19036,36413,29116,11281,LA-04
17352,45521,48803,53454,24022,40983,41881,24486,LA-02
18998,55371,58854,80734,11423,24382,26450,23673,LA-01
18491,64943,50871,40919,20219,37166,27351,9956,LA-05
8526,47559,54697,97523,6306,26463,25336,26602,ME-01
11205,67552,66354,60703,8768,26551,25258,14215,ME-02
12076,54151,61968,84804,9326,21145,22210,14594,MD-01
7589,27023,40596,115657,10448,19021,26288,46145,MD-03
12273,29916,45503,83272,13256,31432,29200,29157,MD-04
10478,44278,61689,89064,7134,16640,16778,15684,MD-05
8149,27825,37593,86176,17949,32239,34908,34483,MD-07
12284,37062,47991,70796,9848,31367,37515,35028,MD-02
10143,36340,43133,99487,10940,20865,23297,30294,MD-06
8586,23207,36582,122477,10248,14440,17960,48760,MD-08
7518,30560,41635,122658,7543,19015,20547,33215,MA-04
8254,18114,17415,57975,29062,38765,39807,92977,MA-07
6680,39454,50267,89413,11609,29006,30334,32255,MA-02
10128,47953,60373,99580,13953,27584,24846,21453,MA-09
9069,33215,41664,107937,12149,22516,24300,53383,MA-08
10614,48331,53229,72773,18234,34703,28638,20543,MA-01
4718,20400,27868,121464,9515,21198,23166,68530,MA-05
12424,68262,83572,68758,6613,22304,22554,14261,MI-01
13387,54085,70237,67687,7381,24412,28917,14611,MI-02
9302,30124,41932,70299,15177,33615,43239,30244,MI-14
10899,47554,69468,82839,8236,24351,24166,16287,MI-03
13825,58702,79565,49318,11499,27321,31673,12938,MI-05
16141,44399,52410,28970,22106,42401,41444,16886,MI-13
13537,50035,68484,81510,8759,27757,33573,21093,MI-09
6832,38084,65556,100913,5394,15908,26709,25423,MI-08
13068,60531,82515,55498,7176,22959,24634,8832,MN-07
7215,46144,76230,79592,5139,15532,23202,10694,MN-06
8618,54319,69830,70381,8696,20529,24476,16818,MN-01
4833,28412,55848,121523,3718,13603,25295,28318,MN-03
4947,21695,41039,96346,15033,25126,42671,62296,MN-05
14655,45778,64281,71187,14073,28745,40452,27350,NC-13
15075,38240,61225,91488,11907,21796,26757,19135,NC-09
8465,44410,74008,71528,9624,37010,48100,30374,ND-00
13262,53180,54755,83359,13963,31609,27685,23590,OH-02
17243,81798,63578,45917,8910,30775,19654,7263,OH-06
12894,74601,71892,48789,9480,33962,24990,9447,OH-04
9735,58203,61776,88699,6038,25595,27626,21125,OH-16
12182,35562,44704,57135,21664,43133,61131,31535,OH-11
12609,62033,61557,59991,10855,33689,26797,13089,OH-08
12611,39884,62916,80959,15448,33666,42776,26233,OK-01
15593,37474,53515,79336,20171,38420,43427,27959,OK-05
9411,26655,55241,108392,13243,25466,46983,56312,OR-03
11916,46839,80446,71948,9524,29955,55328,29930,OR-04
9083,26874,28540,51715,15098,26413,21342,22898,RI-01
17700,57842,60873,58087,12652,22436,25447,11634,SC-03
18183,56873,67024,58275,17078,35508,25232,11670,SC-07
17330,43573,43451,40513,17155,33908,34957,20119,SC-06
19239,57033,62385,64245,12361,29798,31154,18399,TN-03
14644,54490,59150,56825,10578,30002,26031,16313,AL-01
23831,54111,63769,58344,13653,21319,29324,14885,AL-03
13484,48284,58154,83942,12020,24183,29578,23501,AL-05
26632,60433,65989,41267,17376,23723,19729,7716,AL-04
15664,45659,44697,37184,15756,42317,37361,21008,AL-07
16327,49112,55188,51242,14906,27168,29177,19060,AL-02
13786,41440,61349,90226,8423,16842,20198,20206,AL-06
7376,36489,57986,61421,6764,23245,37851,21067,AK-00
20690,39710,75274,61620,8434,17803,33040,17127,AZ-01
