total,noHighSchoolGrad,noHighSchoolGradInLaborForce,noHighSchoolGradInLaborForceInArmy,noHighSchoolGradInLaborForceCivilian,noHighSchoolGradInLaborForceCivilianEmployed,noHighSchoolGradInLaborForceCivilianUnemployed,noHighSchoolGradNotInLaborForce,highSchoolGrad,highSchoolGradInLaborForce,highSchoolGradInLaborForceInArmy,highSchoolGradInLaborForceCivilian,highSchoolGradInLaborForceCivilianEmployed,highSchoolGradInLaborForceCivilianUnemployed,highSchoolGradNotInLaborForce,someCollege,someCollegeInLaborForce,someCollegeInLaborForceInArmy,someCollegeInLaborForceCivilian,someCollegeInLaborForceCivilianEmployed,someCollegeInLaborForceCivilianUnemployed,someCollegeNotInLaborForce,bachelorsOrHigher,bachelorsOrHigherInLaborForce,bachelorsOrHigherInLaborForceInArmy,bachelorsOrHigherInLaborForceCivilian,bachelorsOrHigherInLaborForceCivilianEmployed,bachelorsOrHigherInLaborForceCivilianUnemployed,bachelorsOrHigherNotInLaborForce,stateId
461258,51318,35004,0,35004,32270,2734,16314,114086,87942,0,87942,82977,4965,26144,143744,117572,163,117409,111667,5742,26172,152110,130868,114,130754,127127,3627,21242,FL-10
435094,26047,17355,53,17302,16178,1124,8692,95483,71111,1211,69900,66843,3057,24372,131441,106526,3133,103393,98912,4481,24915,182123,155132,2598,152534,148297,4237,26991,FL-04
391171,33855,19979,0,19979,18659,1320,13876,106067,76293,176,76117,71076,5041,29774,128453,101080,488,100592,95705,4887,27373,122796,103788,291,103497,100794,2703,19008,FL-13
414997,55857,36428,4,36424,34056,2368,19429,119415,90915,249,90666,86008,4658,28500,119207,96338,514,95824,91641,4183,22869,120518,104414,346,104068,101557,2511,16104,FL-26
403819,31817,22801,0,22801,20788,2013,9016,92533,73108,30,73078,68275,4803,19425,115770,96546,108,96438,92027,4411,19224,163699,137669,138,137531,132769,4762,26030,FL-22
451423,52525,32437,0,32437,30213,2224,20088,132637,93941,16,93925,88770,5155,38696,149835,116596,98,116498,111745,4753,33239,116426,97116,151,96965,93677,3288,19310,FL-09
372322,43893,29435,0,29435,27805,1630,14458,109960,80485,133,80352,76108,4244,29475,107500,82437,92,82345,78449,3896,25063,110969,84760,57,84703,82441,2262,26209,FL-19
404201,34804,18300,4,18296,16552,1744,16504,103482,70887,1253,69634,65129,4505,32595,152764,115795,5825,109970,105304,4666,36969,113151,93911,6049,87862,85352,2510,19240,FL-01
418433,24209,15182,0,15182,14056,1126,9027,83386,61269,31,61238,57723,3515,22117,136332,110423,375,110048,105485,4563,25909,174506,150105,331,149774,145970,3804,24401,FL-07
421345,39331,26342,0,26342,24756,1586,12989,96036,75330,27,75303,71954,3349,20706,99729,81153,38,81115,77893,3222,18576,186249,161333,148,161185,156839,4346,24916,FL-27
379305,40651,22224,0,22224,19965,2259,18427,112101,80171,123,80048,75964,4084,31930,119197,92773,807,91966,88220,3746,26424,107356,91197,693,90504,88120,2384,16159,GA-03
375179,42050,22733,0,22733,19994,2739,19317,118333,82466,19,82447,78834,3613,35867,109265,85501,232,85269,82039,3230,23764,105531,90245,362,89883,88101,1782,15286,GA-10
410458,46586,29015,0,29015,26634,2381,17571,104751,78858,6,78852,73652,5200,25893,128199,103501,245,103256,97108,6148,24698,130922,115440,134,115306,111507,3799,15482,GA-04
429187,41319,23023,0,23023,20017,3006,18296,91787,64394,41,64353,58338,6015,27393,100875,79784,153,79631,74045,5586,21091,195206,175518,222,175296,171153,4143,19688,GA-05
409498,39920,25337,0,25337,23650,1687,14583,113664,85449,23,85426,79641,5785,28215,129729,107789,166,107623,102143,5480,21940,126185,111397,129,111268,106863,4405,14788,GA-13
439406,47285,33477,0,33477,32150,1327,13808,84009,64052,22,64030,61427,2603,19957,115095,94719,129,94590,90726,3864,20376,193017,165605,200,165405,161346,4059,27412,GA-07
337658,49490,22760,32,22728,19043,3685,26730,111843,71746,982,70764,64926,5838,40097,115108,85591,2929,82662,77361,5301,29517,61217,50321,1672,48649,47010,1639,10896,GA-02
372569,65376,39103,0,39103,36816,2287,26273,124551,87997,104,87893,83946,3947,36554,114911,90805,123,90682,87464,3218,24106,67731,58394,306,58088,56841,1247,9337,GA-14
420215,34954,23633,0,23633,22052,1581,11321,81569,61661,34,61627,59638,1989,19908,118773,96894,259,96635,92647,3988,21879,184919,160963,300,160663,156735,3928,23956,GA-11
369927,52429,26070,9,26061,23293,2768,26359,120737,79439,658,78781,73579,5202,41298,114330,84749,3361,81388,77470,3918,29581,82431,69597,2001,67596,65703,1893,12834,GA-12
443277,38718,25278,0,25278,23980,1298,13440,124991,89098,200,88898,85380,3518,35893,163083,124101,466,123635,119544,4091,38982,116485,96727,233,96494,94532,1962,19758,ID-01
376813,24146,16472,29,16443,15628,815,7674,85086,65659,2227,63432,60878,2554,19427,124464,103306,7374,95932,92839,3093,21158,143117,125426,5961,119465,117602,1863,17691,HI-01
362586,20364,12578,26,12552,11622,930,7786,113336,85767,2550,83217,78547,4670,27569,122806,98323,4025,94298,90255,4043,24483,106080,89559,3326,86233,83920,2313,16521,HI-02
358381,18546,9852,0,9852,8562,1290,8694,94729,70968,48,70920,67500,3420,23761,117431,94509,236,94273,90764,3509,22922,127675,110580,127,110453,108645,1808,17095,IL-18
354365,35561,19738,0,19738,16476,3262,15823,101540,72723,62,72661,63829,8832,28817,132582,106575,99,106476,96156,10320,26007,84682,73170,24,73146,69387,3759,11512,IL-02
387705,21636,15890,0,15890,15104,786,5746,78227,60699,35,60664,58179,2485,17528,115885,96777,41,96736,93767,2969,19108,171957,149617,130,149487,146089,3398,22340,IL-14
352478,30647,18771,0,18771,17021,1750,11876,109117,81933,0,81933,76793,5140,27184,128333,104077,127,103950,99969,3981,24256,84381,73381,39,73342,71728,1614,11000,IL-16
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IL-ZZ
341520,37982,20573,0,20573,17637,2936,17409,110078,80904,30,80874,74456,6418,29174,124956,99501,164,99337,94256,5081,25455,68504,59137,73,59064,57805,1259,9367,IL-17
377195,46383,30461,0,30461,27915,2546,15922,105204,78856,0,78856,72656,6200,26348,109395,88463,77,88386,84285,4101,20932,116213,101846,10,101836,98841,2995,14367,IL-03
384043,89167,59378,0,59378,55322,4056,29789,105261,81915,7,81908,77045,4863,23346,85571,71412,65,71347,68039,3308,14159,104044,94880,13,94867,92410,2457,9164,IL-04
381993,48250,34903,0,34903,32852,2051,13347,84660,66978,66,66912,63306,3606,17682,108258,90135,82,90053,86125,3928,18123,140825,124125,76,124049,121056,2993,16700,IL-11
351666,30753,13896,0,13896,12421,1475,16857,109930,77273,3,77270,72860,4410,32657,134813,105323,197,105126,100835,4291,29490,76170,66306,82,66224,65009,1215,9864,IL-15
389209,50354,38813,0,38813,36994,1819,11541,89139,70830,22,70808,67426,3382,18309,111257,95131,158,94973,91322,3651,16126,138459,121657,162,121495,117961,3534,16802,IL-08
360326,49520,30247,46,30201,27880,2321,19273,121305,90501,18,90483,86604,3879,30804,107558,88074,87,87987,85188,2799,19484,81943,71258,123,71135,69765,1370,10685,IN-02
363503,33685,18009,0,18009,16306,1703,15676,133307,97943,34,97909,93837,4072,35364,111549,89527,95,89432,86937,2495,22022,84962,73862,103,73759,72798,961,11100,IN-06
371544,32385,17029,0,17029,15041,1988,15356,124184,85470,32,85438,80102,5336,38714,122941,97140,52,97088,92151,4937,25801,92034,80135,43,80092,77767,2325,11899,IN-01
372731,43645,26519,0,26519,24734,1785,17126,116420,89975,48,89927,86130,3797,26445,121075,101112,157,100955,98280,2675,19963,91591,80749,64,80685,79125,1560,10842,IN-03
374161,33118,20137,0,20137,18686,1451,12981,116298,87431,43,87388,84195,3193,28867,117405,95877,98,95779,92535,3244,21528,107340,94484,196,94288,92919,1369,12856,IN-04
381644,24119,15898,0,15898,14678,1220,8221,109898,87344,22,87322,84261,3061,22554,135981,116988,143,116845,113768,3077,18993,111646,100486,56,100430,98864,1566,11160,IA-01
360273,27719,18720,0,18720,17630,1090,8999,102183,81651,27,81624,78627,2997,20532,133896,114231,151,114080,111550,2530,19665,96475,86829,107,86722,85655,1067,9646,IA-04
435916,33461,22324,0,22324,20815,1509,11137,104009,80886,96,80790,77216,3574,23123,141939,120828,200,120628,116834,3794,21111,156507,141953,230,141723,139946,1777,14554,IA-03
