total,lessThanHighSchoolTotal,lessThanHighSchoolWithComputer,lessThanHighSchoolWithComputerWithDialUpOnly,lessThanHighSchoolWithComputerWithBroadband,lessThanHighSchoolWithComputerNoInternet,lessThanHighSchoolNoComputer,highSchoolSomeCollegeTotal,highSchoolSomeCollegeWithComputer,highSchoolSomeCollegeWithComputerDialUpOnly,highSchoolSomeCollegeWithComputerWithBroadband,highSchoolSomeCollegeWithComputerNoInternet,highSchoolSomeCollegeNoComputer,bachelorsTotal,bachelorsWithComputer,bachelorsWithComputerWithDialUpOnly,bachelorsWithComputerWithBroadband,bachelorsWithComputerNoInternet,bachelorsNoComputer,stateId
549047,69207,59884,39,48943,10902,9323,304721,288952,421,263837,24694,15769,175119,172601,213,166289,6099,2518,FL-10
559922,35444,29908,255,25889,3764,5536,295460,278162,899,258971,18292,17298,229018,225502,510,218898,6094,3516,FL-04
546269,49262,39784,236,33909,5639,9478,326130,297972,939,270725,26308,28158,170877,165014,301,158096,6617,5863,FL-13
516100,88538,77988,178,66555,11255,10550,282793,270551,446,242269,27836,12242,144769,141916,113,131226,10577,2853,FL-26
557721,46009,40142,108,35558,4476,5867,288342,272962,544,252758,19660,15380,223370,218992,297,210046,8649,4378,FL-22
581249,78146,63713,420,50401,12892,14433,358406,332276,1518,286195,44563,26130,144697,141571,221,131422,9928,3126,FL-09
616758,63548,55057,155,45325,9577,8491,347674,329154,1837,300894,26423,18520,205536,200909,475,190622,9812,4627,FL-19
514659,43536,35094,113,29126,5855,8442,323971,302573,1102,276291,25180,21398,147152,144408,263,138719,5426,2744,FL-01
521547,34928,30139,24,26642,3473,4789,276500,263909,650,245496,17763,12591,210119,207006,257,200169,6580,3113,FL-07
550449,76304,58383,30,44685,13668,17921,249308,230166,704,196667,32795,19142,224837,219826,219,203436,16171,5011,FL-27
482617,57270,42288,236,34628,7424,14982,294012,270129,800,241654,27675,23883,131335,128886,226,124030,4630,2449,GA-03
471843,57836,42061,194,32995,8872,15775,283128,256205,890,227840,27475,26923,130879,128560,207,123812,4541,2319,GA-10
492310,59215,51547,36,41058,10453,7668,277199,264143,579,236333,27231,13056,155896,153064,199,146650,6215,2832,GA-04
502879,53287,38937,193,30358,8386,14350,228273,200011,414,170807,28790,28262,221319,217319,218,205854,11247,4000,GA-05
487441,52660,46163,35,38575,7553,6497,291691,278049,465,246476,31108,13642,143090,141318,133,133776,7409,1772,GA-13
515743,56131,50778,218,40444,10116,5353,239766,231863,463,215827,15573,7903,219846,218105,193,212538,5374,1741,GA-07
418464,67961,44668,210,34003,10455,23293,274095,234721,793,198741,35187,39374,76408,73092,173,68264,4655,3316,GA-02
469371,88215,68588,181,57945,10462,19627,296943,271472,1077,246426,23969,25471,84213,82303,129,79023,3151,1910,GA-14
509530,44684,37971,136,32563,5272,6713,248229,237896,597,222083,15216,10333,216617,214646,181,209533,4932,1971,GA-11
451882,68289,47888,99,35650,12139,20401,283362,251744,1005,214546,36193,31618,100231,96690,259,90385,6046,3541,GA-12
580159,51729,44145,242,38247,5656,7584,376059,349027,2398,314879,31750,27032,152371,148760,768,141523,6469,3611,ID-01
494314,41683,34856,111,31016,3729,6827,270858,253048,278,237133,15637,17810,181773,177710,323,170401,6986,4063,HI-01
