Under6Years_WithHealthInsuranceCoverage,Under6Years_NoHealthInsuranceCoverage,6To18Years_WithHealthInsuranceCoverage,6To18Years_NoHealthInsuranceCoverage,19To25Years_WithHealthInsuranceCoverage,19To25Years_NoHealthInsuranceCoverage,26To34Years_WithHealthInsuranceCoverage,26To34Years_NoHealthInsuranceCoverage,35To44Years_WithHealthInsuranceCoverage,35To44Years_NoHealthInsuranceCoverage,45To54Years_WithHealthInsuranceCoverage,45To54Years_NoHealthInsuranceCoverage,55To64Years_WithHealthInsuranceCoverage,55To64Years_NoHealthInsuranceCoverage,65To74Years_WithHealthInsuranceCoverage,65To74Years_NoHealthInsuranceCoverage,75YearsAndOver_WithHealthInsuranceCoverage,75YearsAndOver_NoHealthInsuranceCoverage,stateId
5187,0,9745,468,15265,1847,10170,968,11218,314,8390,652,7685,373,6519,36,4799,0,CA-03
519,0,3713,0,2057,15,2920,528,1975,174,3056,598,3100,102,2050,0,1082,0,CA-21
7070,239,18672,221,8856,675,15633,1925,16167,995,22669,1187,18653,1191,15009,0,10713,185,CA-48
2893,193,9533,301,4636,293,7641,257,7813,418,9146,317,6399,0,3583,0,2824,0,CA-10
4908,285,8841,1157,11793,1740,22254,4480,16307,2438,16214,2579,16396,2821,14756,523,19213,334,CA-34
7203,0,21193,499,16733,1106,24514,1844,23431,1244,22246,812,16662,828,11761,114,7918,192,CA-52
4829,0,9529,324,7125,449,11154,1185,14450,737,15188,1030,12463,372,8459,0,7081,13,CA-30
11001,96,27338,737,14537,177,22555,1224,34174,256,27646,1344,18384,959,12304,429,10301,62,CA-18
1547,41,5631,163,5651,572,3244,805,3458,406,6406,181,5268,335,5254,118,2881,0,CA-20
4353,169,13556,406,6483,569,6714,781,11185,383,12536,992,10237,144,6951,63,3960,0,CA-42
3927,34,9271,19,3839,180,6711,317,8866,193,10406,217,7671,581,6221,0,3399,30,CA-25
7364,207,12810,739,9464,669,15028,1757,18904,1996,17271,2145,18686,1436,15188,88,10390,97,CA-32
5270,146,8131,734,4171,545,14575,1138,13243,655,11236,745,11139,1210,8726,274,7340,0,CA-43
3067,170,6348,501,4831,771,7776,1610,6891,664,6967,596,7407,463,5177,0,3297,0,CA-35
4674,105,15942,278,17146,1313,27147,1002,20765,1183,19102,1491,18624,1065,17606,0,10978,65,CA-13
1766,114,3221,44,2946,668,6488,366,5031,375,5124,233,6771,934,5452,53,3064,0,CA-44
2425,0,7880,0,2533,45,5095,40,6494,0,10197,226,6497,350,3895,88,3526,0,CA-49
3616,241,10448,545,7513,809,7914,756,9568,658,11782,550,11877,1020,10676,429,6079,103,CA-05
1291,107,5673,135,4301,282,6641,1047,5078,881,7752,588,8496,394,5638,24,4455,0,CA-29
8620,48,22501,604,9103,408,16913,1253,19425,1173,19855,601,15382,678,11048,0,6373,45,CA-07
15035,826,30694,2653,13104,2323,21780,2538,32290,1982,31844,4387,32069,2705,25845,427,13518,132,CA-39
3069,0,4131,126,3400,79,6150,530,7043,121,6420,534,5764,173,4289,0,2439,0,CA-50
2441,0,5303,0,1072,0,5474,169,4523,378,4912,210,5410,253,4376,0,2200,0,CA-23
3435,0,7220,115,3157,400,8241,704,6430,428,4368,787,7990,914,6082,39,4100,0,CA-51
1821,0,3128,140,2499,576,2878,943,1555,223,2962,143,1797,62,1769,0,933,0,CA-01
946,0,1160,0,765,31,1048,347,2317,84,1635,137,1803,21,1408,0,1642,0,CA-40
14151,125,32081,1010,18294,1735,27850,1040,32881,1674,29823,1996,19953,1395,13609,369,9241,96,CA-45
4295,32,11693,131,3652,352,11155,608,8972,723,8315,201,6638,141,4614,64,2519,0,CA-22
8911,69,21941,908,10128,917,14822,1455,19075,441,13928,810,13859,1712,11494,0,6658,46,CA-09
11973,234,33588,1210,19356,700,32471,3090,34497,3293,37936,4121,40469,2920,32393,835,20571,0,CA-27
13831,51,28576,898,20420,1464,40900,1386,40587,1498,36465,640,34866,1567,27354,249,17892,175,CA-14
672,0,3542,115,2211,175,3342,473,4127,158,4250,40,3784,306,2336,0,2132,0,CA-02
505,334,3013,248,2362,492,5384,892,5328,384,3202,543,2546,0,2408,0,1140,225,CO-01
,,,,,,,,,,,,,,,,,,CO-03
1198,0,3420,0,941,0,3593,128,4508,190,2161,134,1546,255,735,0,570,0,CO-04
887,102,4894,135,3943,423,4860,0,3462,420,4676,0,2446,25,2436,0,771,0,CO-02
