total,26to64Total,26to64NoHighSchoolGrad,26to64NoHighSchoolGradCoverage,26to64NoHighSchoolGradCoveragePrivate,26to64NoHighSchoolGradCoveragePublic,26to64NoHighSchoolGradNoCoverage,26to64HighSchoolGrad,26to64HighSchoolGradCoverage,26to64HighSchoolGradCoveragePrivate,26to64HighSchoolGradCoveragePublic,26to64HighSchoolGradNoCoverage,26to64SomeCollege,26to64SomeCollegeCoverage,26to64SomeCollegeCoveragePrivate,26to64SomeCollegeCoveragePublic,26to64SomeCollegeNoCoverage,26to64BachelorsOrHigher,26to64BachelorsOrHigherCoverage,26to64BachelorsOrHigherCoveragePrivate,26to64BachelorsOrHigherCoveragePublic,26to64BachelorsOrHigherNoCoverage,65plus,65plusNoHighSchoolGradCoverage,65plusNoHighSchoolGradPrivate,65plusNoHighSchoolGradCoveragePublic,65plusNoHighSchoolGradNoCoverage,65plusHighSchoolGrad,65plusHighSchoolGradCoverage,65plusHighSchoolGradCoveragePrivate,65plusHighSchoolGradCoveragePublic,65plusHighSchoolGradNoCoverage,65plusSomeCollege,65plusSomeCollegeCoverage,65plusSomeCollegeCoveragePrivate,65plusSomeCollegeCoveragePublic,65plusSomeCollegeNoCoverage,65plusBachelorsOrHigher,65plusBachelorsOrHigherCoverage,65plusBachelorsOrHigherCoveragePrivate,65plusBachelorsOrHigherCoveragePublic,65plusBachelorsOrHigherNoCoverage,stateId
533926,441882,49019,31371,21885,10943,17648,109392,82981,65123,20674,26411,136861,115000,100613,20074,21861,146610,132208,127185,8872,14402,92044,18637,5453,17865,685,26727,26058,11845,24679,669,22727,22480,11742,21470,247,23268,22907,21530,21530,361,FL-10
543326,414550,24855,17014,11994,6105,7841,90947,73881,64521,13002,17066,123704,107285,98716,15312,16419,175044,164142,160483,10585,10902,128776,9975,4514,9798,326,34070,33736,18428,32923,334,36982,36744,23084,35549,238,47423,47027,45097,45097,396,FL-04
540461,377306,32013,21953,12145,10775,10060,101204,78181,60383,22328,23023,124360,104111,89074,20860,20249,119729,109861,105050,8796,9868,163155,17371,6773,16717,213,49993,49571,24574,48292,422,47043,46873,24204,45376,170,48535,48332,46327,46327,203,FL-13
508682,398066,52627,30852,21163,10569,21775,114246,81020,66595,16403,33226,114095,92443,81535,14018,21652,117098,102467,96287,8617,14631,110616,34192,3790,33369,1513,28156,27387,6706,26021,769,21597,21095,7429,20079,502,25158,24405,22716,22716,753,FL-26
550194,392789,30646,18682,14183,5546,11964,90478,66664,58153,10879,23814,111962,91655,83674,10889,20307,159703,145123,139918,7994,14580,157405,14502,5282,13793,668,42666,41656,18854,39843,1010,39452,38671,19925,37373,781,60117,59699,56397,56397,418,FL-22
567355,431980,49079,34410,22466,13694,14669,126334,96342,74415,26788,29992,143696,121069,102570,25820,22627,112871,102991,96555,10872,9880,135375,26434,7572,26038,1276,44420,43662,21264,42690,758,34730,34277,18471,33487,453,28515,28114,27215,27215,401,FL-09
610402,361113,42261,25183,18089,8790,17078,105812,77922,64285,17640,27890,104525,88601,78062,15132,15924,108515,98274,93849,8022,10241,249289,20129,9542,19438,957,65408,64979,38193,63681,429,67852,67480,43283,66125,372,94943,94595,91478,91478,348,FL-19
494575,370192,30242,19691,11030,9993,10551,94838,73684,58289,20658,21154,140375,122403,107542,25649,17972,104737,98976,95886,10131,5761,124383,13002,6923,12859,70,37838,37684,25289,37121,154,38474,38406,27934,37524,68,34999,34946,33827,33827,53,FL-01
507276,401668,23394,15981,10496,6690,7413,80395,60684,49913,13744,19711,129834,111613,99681,17124,18221,168045,156012,150911,9695,12033,105608,11275,3873,11046,200,28094,27863,13449,26971,231,30115,29826,14511,29073,289,35924,35735,34183,34183,189,FL-07
539627,407326,38385,22964,14677,9026,15421,93401,65763,53616,13455,27638,95159,77422,70306,8883,17737,180381,162790,156134,8395,17591,132301,36688,3576,35939,960,31692,30860,4983,29820,832,23543,23206,6590,22330,337,39418,38837,35934,35934,581,FL-27
