total,homeOwner,homeOwnerLessThanHighSchool,homeOwnerHighSchoolGrad,homeOwnerSomeCollege,homeOwnerBachelorsOrMore,renter,renterLessThanHighSchool,renterHighSchoolGrad,renterSomeCollege,renterBachelorsOrMore,stateId
277973,154768,12811,31400,45819,64738,123205,16456,30734,42783,33232,FL-10
308034,210978,8565,39230,61525,101658,97056,7157,21431,33640,34828,FL-04
307711,199551,12520,45944,63837,77250,108160,11079,28483,38744,29854,FL-13
224524,140366,15617,32340,41676,50733,84158,16138,25054,24015,18951,FL-26
306533,197506,10323,38982,53724,94477,109027,11042,25651,34669,37665,FL-22
277191,179555,18689,45302,59063,56501,97636,11746,28965,34476,22449,FL-09
318832,229890,13110,50529,68667,97584,88942,11986,26000,28224,22732,FL-19
293443,196283,11119,42245,74496,68423,97160,9376,26092,39466,22226,FL-01
285812,168037,6365,27741,50453,83478,117775,7830,23780,44734,41431,FL-07
279809,132540,11376,18795,30013,72356,147269,23542,35725,32184,55818,FL-27
266634,183512,16045,48562,56503,62402,83122,13866,24541,29226,15489,GA-03
264227,180682,16145,51965,51424,61148,83545,13072,26100,26191,18182,GA-10
262142,157495,10215,30504,48496,68280,104647,14605,28453,36724,24865,GA-04
309717,137835,8906,20390,27832,80707,171882,18308,39762,46586,67226,GA-05
262472,163071,12503,37723,49519,63326,99401,10580,29515,36544,22762,GA-13
264582,181091,10157,26816,45858,98260,83491,11166,18288,28003,26034,GA-07
247748,136976,17806,42152,43497,33521,110772,20449,35136,40005,15182,GA-02
255889,176642,24894,56136,53921,41691,79247,20463,27038,23696,8050,GA-14
287030,186199,9706,30733,50115,95645,100831,11527,20081,34403,34820,GA-11
251385,159211,17400,49070,48133,44608,92174,18258,28918,30127,14871,GA-12
327185,238699,15417,57440,90515,75327,88486,9181,27095,36016,16194,ID-01
235539,129904,6415,22894,38307,62288,105635,8502,23704,38766,34663,HI-01
223885,140473,6818,31720,47051,54884,83412,7196,24418,31225,20573,HI-02
282439,212794,8828,57142,66657,80167,69645,6085,20739,24720,18101,IL-18
257991,157699,13186,40465,58215,45833,100292,13020,28831,41491,16950,IL-02
257263,209367,7389,37817,62825,101336,47896,5333,13729,17268,11566,IL-14
275337,198716,13847,60408,71859,52602,76621,8998,25261,28628,13734,IL-16
,,,,,,,,,,,IL-ZZ
281314,189331,15478,59565,69822,44466,91983,14639,31359,33374,12611,IL-17
244873,182678,19056,47529,53976,62117,62195,9470,20213,19812,12700,IL-03
223993,105659,24151,24088,23937,33483,118334,28027,33950,26819,29538,IL-04
248456,177582,14751,34576,52125,76130,70874,11893,17323,22817,18841,IL-11
277682,207819,15074,65714,78618,48413,69863,9582,24288,26881,9112,IL-15
253229,170651,15086,35584,52273,67708,82578,13279,20182,23956,25161,IL-08
270905,192848,20200,63781,56925,51942,78057,13746,28607,23491,12213,IN-02
281903,204153,16158,74316,61150,52529,77750,10398,30113,25752,11487,IN-06
274204,194492,14356,62658,60785,56693,79712,10227,27466,28990,13029,IN-01
287165,208625,20226,65340,66098,56961,78540,10946,27135,26833,13626,IN-03
288763,202395,13662,63751,61248,63734,86368,10230,28107,30578,17453,IN-04
311269,230312,12401,69980,78003,69928,80957,8059,25745,30991,16162,IA-01
312649,222004,12973,68062,79878,61091,90645,10475,27656,34703,17811,IA-04
328983,229643,10862,52864,74442,91475,99340,11384,27172,34963,25821,IA-03
293153,196519,8435,26010,48333,113741,96634,10122,21167,30947,34398,KS-03
279531,184054,12304,42496,62349,66905,95477,12161,27352,37379,18585,KS-04
289932,200970,20343,67590,62767,50270,88962,13313,29754,31979,13916,KY-02
281287,194752,24366,71442,58657,40287,86535,14653,33484,28599,9799,KY-01
304254,185370,11365,42712,54381,76912,118884,14178,31431,44021,29254,KY-03
282546,204199,14829,55587,61336,72447,78347,11965,24723,27101,14558,KY-04
294506,160449,18973,45171,47397,48908,134057,27529,40813,40117,25598,LA-02
292100,211443,18142,61423,58768,73110,80657,9782,23049,28142,19684,LA-06
295361,201905,24359,68946,55152,53448,93456,17625,35385,26532,13914,LA-03
287512,204940,7558,46587,58818,91977,82572,7122,24530,26502,24418,ME-01
268720,173249,12465,45939,55333,59512,95471,8410,26800,35387,24874,FL-03
284386,118367,4095,10161,15717,88394,166019,18435,32168,28826,86590,DC-98
299581,232275,19450,72738,74090,65997,67306,10143,25686,21000,10477,FL-17
305829,220014,14987,60239,78982,65806,85815,10226,26615,32120,16854,FL-06
271047,140299,13944,39925,47152,39278,130748,18674,37498,50870,23706,FL-05
242695,110577,18731,28875,31013,31958,132118,27968,41309,37518,25323,FL-24
325031,263852,20121,79507,93122,71102,61179,8339,22119,21876,8845,FL-11
