total,noIncome,$1-9k,$10-15k,$15-25k,$25-35k,$35-50k,$50-65k,$65-75k,$75k-more,stateId
658941,96032,92588,57792,107175,89075,76277,51564,16626,71812,FL-10
661096,77263,81134,45748,82577,73854,88976,65045,25244,121255,FL-04
630185,66725,84492,58558,99788,82494,83793,54261,20531,79543,FL-13
628618,122255,93334,53431,94840,75284,70981,43626,17980,56887,FL-26
641629,81221,79800,50040,84377,72316,77564,57675,22404,116232,FL-22
701803,115673,100758,67627,120546,89237,85249,49828,17987,54898,FL-09
701914,81496,89918,60483,108837,90819,87015,59621,21923,101802,FL-19
632782,75691,96759,52978,94225,79846,81365,53414,21529,76975,FL-01
644876,103935,84852,48170,87016,71563,78508,57205,21377,92250,FL-07
636264,96988,98250,57015,90189,67135,63184,44069,17666,101768,FL-27
591533,87922,91084,48535,78719,64674,69386,54638,21746,74829,GA-03
605815,92756,104013,54530,81480,66992,70148,49359,19310,67227,GA-10
597749,91183,81607,47647,85545,75486,77641,52488,21076,65076,GA-04
635463,88658,100942,51493,78397,68161,70758,52971,21771,102312,GA-05
594145,86075,81023,45601,81496,74036,81616,57346,20965,65987,GA-13
630482,107988,76368,40006,71740,71407,73217,55457,22788,111511,GA-07
537920,97767,100216,55626,80167,61099,57436,35642,13438,36529,GA-02
572505,85356,85307,52174,91637,75016,71582,47004,16495,47934,GA-14
617960,83009,77895,41729,72642,64550,74102,61603,25182,117248,GA-11
581366,98584,106384,55819,83384,64543,63680,43033,16204,49735,GA-12
706870,81556,117326,62362,105004,88623,92331,60921,23286,75461,ID-01
590139,66802,72305,37056,69180,66805,83082,64273,25474,105162,HI-01
574646,70662,74324,40482,75524,71922,79474,57518,21580,83160,HI-02
574377,63903,78026,41897,72354,63850,78516,59796,23769,92266,IL-18
562716,93839,93568,44465,77715,61311,65615,48028,20042,58133,IL-02
582195,69886,71443,35975,62024,54292,65919,57829,26293,138534,IL-14
569901,63999,85052,46286,80701,66526,70899,57183,22220,77035,IL-16
,,,,,,,,,,IL-ZZ
554306,64292,91566,48680,86536,69431,75027,50854,18482,49438,IL-17
572525,88200,76392,39707,73231,63197,66417,52414,20792,92175,IL-03
548960,97597,69031,41841,90114,72832,65893,43297,14559,53796,IL-04
573460,74758,75572,38082,74552,63859,67018,54308,22623,102688,IL-11
563802,67584,87454,48459,81077,68712,80248,53698,20154,56416,IL-15
572649,73925,71176,36840,74501,66879,75415,57505,24878,91530,IL-08
576788,70975,94083,48309,84782,75133,79510,53197,18622,52177,IN-02
589261,66077,95243,52155,84949,77746,81985,56014,19424,55668,IN-06
580105,86932,85017,46848,77933,65039,70066,51438,20319,76513,IN-01
585178,61891,83277,47541,89226,81234,88258,56277,20665,56809,IN-03
614286,69899,101440,46825,85041,74754,84304,59616,22160,70247,IN-04
626221,49473,96711,50503,85775,81538,95922,68187,24959,73153,IA-01
614248,47605,101635,52076,87690,78143,94058,66615,23145,63281,IA-04
659140,54869,86532,48400,83969,78623,99222,76269,30104,101152,IA-03
606585,60373,78449,38798,67027,65139,82238,64682,26513,123366,KS-03
570192,65233,86817,46341,80736,71827,78645,55846,20550,64197,KS-04
613681,71709,104590,58391,91549,73937,80631,56497,20099,56278,KY-02
582765,75969,101337,64595,92755,73801,72349,44612,15070,42277,KY-01
606576,59988,91207,49353,86862,76735,86517,57338,21774,76802,KY-03
608391,70247,92271,48700,79303,68361,80168,60028,23556,85757,KY-04
640688,103118,115925,65654,93903,71906,68932,46663,15244,59343,LA-02
633506,85076,93636,49117,80433,64737,77029,61410,23739,98329,LA-06
622403,94618,103268,58272,87781,68092,68835,51364,17870,72303,LA-03
577279,39088,82060,47059,78599,73732,84873,62120,24436,85312,ME-01
613354,103611,101566,52799,88745,66931,76137,46309,17492,59764,FL-03
584437,62321,85820,31818,47531,43701,53705,52826,28963,177752,DC-98
665706,87549,93922,67099,116084,85955,84995,50368,18834,60900,FL-17
654749,91432,87800,63004,109115,88326,80391,53859,19250,61572,FL-06
590391,98936,103490,51639,91805,77784,74609,43993,13387,34748,FL-05
605761,116002,105879,59748,100340,78572,64870,35040,10907,34403,FL-24
673200,76419,96920,72562,123490,91293,86303,52013,19089,55111,FL-11
629152,97892,83371,46656,76996,69012,76061,55004,20374,103786,FL-23
643276,78966,88570,59532,103038,80607,78051,53887,19907,80718,FL-08
653941,80358,84044,55738,96655,79494,82665,56845,21526,96616,FL-18
628575,106695,99653,59029,104269,80244,79229,43959,13515,41982,FL-20
644022,105816,110815,63850,106109,79336,69506,41524,15303,51763,FL-25
551947,46072,94712,58623,89183,73783,77139,49040,17098,46297,ME-02
606141,65303,84303,43116,73717,65882,72982,62678,26590,111570,MD-01
620204,64682,75561,36739,61202,57260,73445,65691,29711,155913,MD-03
603463,68334,69482,33009,66347,64576,77147,64920,29969,129679,MD-04
622650,78777,77472,33412,56340,55632,67828,63562,30403,159224,MD-05
593974,81674,97192,40960,66149,57898,66049,53201,22918,107933,MD-07
615308,77748,82511,39670,70363,66828,78959,66171,26405,106653,MD-02
622774,77272,90960,40400,66519,59699,69401,55206,25605,137712,MD-06
621401,69776,73055,33020,58416,53874,60099,56807,26882,189472,MD-08
622134,62055,84142,38472,59541,52701,65757,60645,27300,171521,MA-04
689319,80742,121843,53169,75862,66668,79171,63114,27795,120955,MA-07
628953,69450,100838,49778,75058,62566,74116,59807,26168,111172,MA-02
626671,53622,84430,51533,80553,68710,76497,64413,29403,117510,MA-09
640405,60214,85061,42046,71861,58663,71138,64132,29615,157675,MA-06
644708,59940,80597,42054,64731,56227,73615,68418,31418,167708,MA-08
607809,64153,96322,54100,83037,69328,74448,58833,25149,82439,MA-01
641732,65681,81954,37132,58691,56114,65363,61180,29781,185836,MA-05
593113,57728,100327,60088,95389,78806,78645,51748,18316,52066,MI-01
593920,59512,96819,50747,90398,79486,82467,56320,20234,57937,MI-02
559429,83620,99149,49585,73150,62220,62824,42573,16708,69600,MI-14
597092,63248,92896,49099,85685,71804,80805,57811,22210,73534,MI-03
553953,65923,94463,54677,85424,70355,72634,44274,17462,48741,MI-05
584128,67146,103834,56087,89915,69504,73978,48657,18394,56613,MI-04
,,,,,,,,,,MI-ZZ
599215,64716,84445,45814,81405,72938,79974,58270,23870,87783,MI-09
587589,72325,91929,46671,75722,65251,71901,55297,22824,85669,MI-12
534707,37641,79203,47498,76783,70007,87242,59490,21237,55606,MN-07
561193,44145,72581,38738,64244,62682,82911,67827,29534,98531,MN-06
550773,41576,84856,50240,82632,67840,80618,58893,22966,61152,MN-08
576541,49753,65491,31419,56374,54154,77920,62925,27007,151498,MN-03
585563,42473,86246,42395,71322,68140,81684,63416,26042,103845,MN-05
686733,98179,83305,45818,76696,70440,80413,69414,27535,134933,TX-10
649748,102452,104614,55584,97251,81899,83539,54916,19356,50137,TX-35
702268,126766,85359,39371,65525,57937,68602,66139,27758,164811,TX-22
576606,89404,102934,49654,80863,69170,66769,45044,16686,56082,TX-19
572535,80993,111197,45179,68825,55486,60801,44657,18468,86929,UT-03
591947,76556,95410,46109,78586,70614,78760,52142,20605,73165,UT-02
599071,70116,96644,48900,79781,72366,80745,59386,22360,68773,VA-03
635913,76946,106856,50014,82199,71165,83411,59734,22500,83088,VA-04
605554,62985,79096,42009,82955,70137,80700,62472,26612,98588,VA-02
627591,70164,108389,55554,90563,76953,83380,55328,21173,66087,VA-06
607299,74550,73809,35138,57874,53625,65106,56038,25977,165182,WA-01
587977,67014,102959,49547,82230,70190,74358,53219,20923,67537,WA-05
614211,66365,84884,41196,76265,70982,83170,62508,25126,103715,WA-02
593669,65821,81976,45769,79651,68070,75283,57664,25338,94097,WA-06
485165,76262,90217,51090,81101,56631,53827,30686,12082,33269,WV-03
584826,52881,79537,45327,78248,70024,82272,63292,27240,86005,WI-01
599785,44529,79125,41358,74144,67851,87395,69638,29347,106398,WI-05
626608,45604,91378,44286,74549,75393,91758,70952,30683,102005,WI-02
570582,104509,100771,54344,86387,60961,58462,44075,14678,46395,TX-16
647187,85362,68380,35651,71577,69281,80146,66491,27467,142832,TX-24
546330,111485,81898,48747,97539,80201,63667,32744,8268,21781,TX-33
606671,87838,91191,50142,84955,68469,70679,53467,20080,79850,TX-11
583348,125059,112609,57928,82712,54564,51708,40194,14998,43576,TX-15
592297,110396,104472,52663,79878,60318,59897,45238,15193,64242,TX-23
643076,89490,85279,42744,78878,73420,77648,66140,25574,103903,TX-12
678936,128647,87772,46064,80832,62611,71685,60022,22494,118809,TX-08
545169,124640,102612,58406,83093,54932,46895,30834,10877,32880,TX-34
599070,112916,87644,47255,83995,73645,74109,50409,18736,50361,TX-30
605890,116268,91927,50495,87197,72156,64955,45553,15507,61832,TX-18
632644,97430,74583,37232,69782,61858,65836,62613,24749,138561,TX-02
635297,99923,108273,56844,93543,76098,73708,53083,18562,55263,TX-20
668261,89137,87540,45919,80301,74008,84900,67677,26927,111852,TX-31
627316,93615,83400,43526,72459,65153,75496,57823,22654,113190,TX-25
621637,81881,72674,37016,77823,66211,72781,64275,23531,125445,TX-32
678486,84187,89795,44301,78282,74538,80734,68420,27108,131121,TX-21
683988,111840,76803,34376,62509,55675,68190,64702,27819,182074,TX-03
598631,90606,88024,52645,84398,68070,70997,53912,17972,72007,TX-04
562952,86285,85450,49111,80331,67473,69683,49601,17335,57683,TX-13
682662,88043,88365,39107,71289,64674,74542,73600,28730,154312,TX-26
612914,112971,88804,50456,97193,78727,71917,48287,16502,48057,TX-09
529189,38636,82897,45435,71830,66670,77045,56861,21029,68786,VT-00
565966,73232,95724,42164,68402,64626,71683,54157,20439,75539,UT-01
593223,75322,87417,40469,69372,72911,80026,58519,23691,85496,UT-04
638368,74107,82738,40665,70616,64109,76912,62627,26511,140083,VA-01
655808,82215,78852,33258,55517,49450,59355,56460,25781,214920,VA-10
616428,77176,98503,54992,86730,70782,79430,52518,21060,75237,VA-05
635099,73779,82540,42284,72262,63120,85508,68071,27628,119907,VA-07
636274,82399,79053,31208,54320,49111,62050,56288,26776,195069,VA-11
601230,77794,116143,64864,92991,69216,74426,46633,15339,43824,VA-09
653139,66119,64729,29840,56276,52811,59663,60540,31490,231671,VA-08
590887,72531,83924,45527,77698,66096,76263,55483,23632,89733,WA-03
600680,76766,78275,40639,73045,69214,82554,63409,27044,89734,WA-10
549602,74971,83568,45595,82763,70215,68328,45012,18209,60941,WA-04
677062,54422,77964,36660,59825,63084,77300,71410,31237,205160,WA-07
612513,73399,77090,38146,63526,63642,75596,60336,24845,135933,WA-09
597208,73434,78954,36304,62490,60519,70354,56728,25770,132655,WA-08
513925,66877,92362,47354,78926,60632,61917,41045,15944,48868,WV-01
513379,65210,82629,45482,75548,65754,63055,44711,16600,54390,WV-02
595777,46539,100963,54069,85005,76945,91495,61359,21990,57412,WI-03
560080,73077,89458,56292,83678,66166,74258,48639,17836,50676,WI-04
583105,41258,82131,54142,87800,79055,92959,60465,23128,62167,WI-07
589905,50275,81226,47775,81981,75486,93458,67216,24312,68176,WI-06
594274,45313,80730,48895,81790,78682,93664,68642,24857,71701,WI-08
,,,,,,,,,,PR-98
612999,91542,96629,61497,93986,76776,77749,46976,17385,50459,MS-01
604574,97624,103279,56791,86585,66256,70472,46298,18097,59172,MS-03
618284,95239,105154,61558,94993,70096,72311,47318,17595,54020,MS-04
558309,106183,107672,57999,89265,63548,58563,32779,10714,31586,MS-02
593791,53875,100401,47493,82765,71045,77176,57732,21987,81317,PA-18
599848,62147,90236,47349,84807,71089,76424,57947,24158,85691,PA-07
580971,89684,115463,50995,80173,65063,69148,43058,18354,49033,PA-02
593202,50790,76492,40187,75813,68502,81074,62376,26895,111073,PA-17
591720,59182,74177,37148,69510,58233,69955,60564,27528,135423,PA-01
572461,57084,100696,50079,86978,70948,73310,51624,20129,61613,PA-16
582838,63016,93050,54795,88370,73114,76072,52679,20158,61584,PA-08
