total,stateId
823865,FL-10
800945,FL-04
729991,FL-13
768910,FL-26
755091,FL-22
869762,FL-09
813477,FL-19
771279,FL-01
768317,FL-07
747186,FL-27
735074,GA-03
750524,GA-10
755681,GA-04
771987,GA-05
759765,GA-13
811492,GA-07
670498,GA-02
717132,GA-14
765954,GA-11
724066,GA-12
888809,ID-01
710794,HI-01
711300,HI-02
705247,IL-18
698741,IL-02
734105,IL-14
694781,IL-16
,IL-ZZ
681131,IL-17
716449,IL-03
692435,IL-04
723342,IL-11
691765,IL-15
711775,IL-08
724054,IN-02
719099,IN-06
714677,IN-01
743000,IN-03
756185,IN-04
772352,IA-01
755085,IA-04
831497,IA-03
768619,KS-03
723478,KS-04
758608,KY-02
718563,KY-01
744534,KY-03
758440,KY-04
790750,LA-02
790815,LA-06
784883,LA-03
681859,ME-01
738669,FL-03
692683,DC-98
773684,FL-17
767325,FL-06
731618,FL-05
746402,FL-24
772901,FL-11
760118,FL-23
754594,FL-08
771253,FL-18
788175,FL-20
771549,FL-25
653633,ME-02
732773,MD-01
757053,MD-03
752243,MD-04
762356,MD-05
718530,MD-07
764509,MD-02
768933,MD-06
762451,MD-08
757680,MA-04
802775,MA-07
748728,MA-02
741094,MA-09
770005,MA-06
767105,MA-08
728716,MA-01
768212,MA-05
698033,MI-01
739228,MI-02
691180,MI-14
742923,MI-03
676131,MI-05
701512,MI-04
,MI-ZZ
717778,MI-09
710371,MI-12
666100,MN-07
710595,MN-06
666672,MN-08
716887,MN-03
712914,MN-05
875936,TX-10
825790,TX-35
911440,TX-22
727765,TX-19
761759,UT-03
766444,UT-02
739947,VA-03
770323,VA-04
738524,VA-02
753338,VA-06
754006,WA-01
714669,WA-05
741822,WA-02
709226,WA-06
584131,WV-03
718226,WI-01
725071,WI-05
762159,WI-02
737398,TX-16
802353,TX-24
739374,TX-33
772210,TX-11
786367,TX-15
769173,TX-23
811608,TX-12
858427,TX-08
721500,TX-34
782114,TX-30
778625,TX-18
794851,TX-02
809092,TX-20
856506,TX-31
783085,TX-25
774063,TX-32
810719,TX-21
867470,TX-03
751164,TX-04
710097,TX-13
874507,TX-26
782123,TX-09
624313,VT-00
762720,UT-01
805925,UT-04
793627,VA-01
838538,VA-10
735069,VA-05
785194,VA-07
793878,VA-11
707798,VA-09
798227,VA-08
730720,WA-03
747935,WA-10
725467,WA-04
782676,WA-07
746443,WA-09
751143,WA-08
611109,WV-01
622065,WV-02
721298,WI-03
710311,WI-04
709130,WI-07
713539,WI-06
730982,WI-08
3318447,PR-98
762562,MS-01
748578,MS-03
769714,MS-04
703564,MS-02
696074,PA-18
726011,PA-07
737498,PA-02
711092,PA-17
709812,PA-01
687946,PA-16
694123,PA-08
731136,PA-10
697483,PA-13
732060,PA-11
705270,PA-09
726966,PA-04
680881,PA-15
716440,PA-05
722876,PA-03
777375,MO-07
772869,MO-06
738901,MO-08
788763,MO-03
767364,MO-04
1050649,MT-00
601272,NE-03
692355,NV-01
811145,NV-03
716367,NV-02
667971,NH-02
725599,NJ-01
751853,NJ-10
736353,NJ-05
739089,NJ-07
752451,NJ-09
733994,NJ-06
748655,NJ-12
695715,NM-01
696624,NM-03
711836,NY-02
716736,NY-25
727151,NY-03
731480,NY-10
767710,NY-13
709541,NY-26
726825,NY-09
716532,NY-01
730822,NY-07
739314,NY-17
729469,NY-06
771094,NY-05
744267,NY-16
730637,NY-11
744473,NY-15
695215,NY-23
772576,NY-08
721821,NY-12
722792,NY-18
755156,NC-01
795777,NC-07
840465,NC-02
768774,NC-06
756531,NC-03
760336,NC-10
857571,NC-04
756559,NC-05
758083,NC-11
788902,NC-08
865614,NC-12
742004,OH-01
727518,OH-07
716938,OH-14
790144,OH-03
722027,OH-10
722911,OH-05
708540,OH-13
761678,OH-15
706921,OH-09
781470,OH-12
748847,OK-02
778159,OK-03
786723,OK-04
842952,OR-01
828319,OR-05
817793,OR-02
523501,RI-02
785395,SC-01
727293,SC-04
717411,SC-05
714742,SC-02
870638,SD-00
716773,TN-01
769198,TN-05
776612,TN-07
746435,TN-02
703381,TN-09
750087,TX-28
719958,TX-01
787830,TX-07
785330,TX-06
771317,TX-17
743455,TX-36
581024,WY-00
687897,PA-14
728613,PA-06
699352,PA-12
764022,MO-02
727393,MO-01
768223,MO-05
644886,NE-01
668413,NE-02
752515,NV-04
680153,NH-01
737334,NJ-03
740712,NJ-04
714910,NJ-02
735094,NJ-11
762459,NJ-08
700115,NM-02
725988,NY-20
703073,NY-21
723357,NY-04
696141,NY-22
698759,NY-19
715340,NY-27
694613,NY-14
704757,NY-24
777328,NC-13
783780,NC-09
756717,ND-00
728713,OH-02
696108,OH-06
710991,OH-04
720291,OH-16
689571,OH-11
729572,OH-08
801857,OK-01
817284,OK-05
837545,OR-03
803194,OR-04
533730,RI-01
693354,SC-03
719968,SC-07
662643,SC-06
784717,TN-04
708466,TN-08
773038,TN-06
745825,TX-29
740124,TX-27
751606,TX-14
751567,TX-05
747416,GA-09
750871,GA-06
737087,GA-01
706300,GA-08
828941,ID-02
704031,IL-01
720978,IL-07
740867,IL-05
701843,IL-13
724005,IL-06
710717,IL-10
724839,IL-09
693580,IL-12
753239,IN-09
719002,IN-08
775550,IN-05
760897,IN-07
730736,TN-03
780574,IA-02
703509,KS-01
715046,KS-02
771727,KY-06
697180,KY-05
748317,LA-04
805517,LA-01
744080,LA-05
957248,DE-00
788251,FL-14
831418,FL-16
789855,FL-15
772330,FL-12
722465,FL-02
772206,FL-21
766238,MA-03
705993,MI-07
717930,MI-06
718572,MI-10
675497,MI-13
730595,MI-11
739522,MI-08
703966,MN-02
675187,MN-01
711057,MN-04
