total,below,atOrAbove,stateId
530990,59891,471099,FL-10
589066,47023,542043,FL-04
565170,65776,499394,FL-13
456533,52937,403596,FL-26
525663,45912,479751,FL-22
592941,69609,523332,FL-09
601114,54243,546871,FL-19
560265,56998,503267,FL-01
554741,64319,490422,FL-07
441793,52848,388945,FL-27
529678,61640,468038,GA-03
531157,75566,455591,GA-10
503430,56586,446844,GA-04
539838,89915,449923,GA-05
514583,51864,462719,GA-13
480843,33155,447688,GA-07
466019,99228,366791,GA-02
498411,57835,440576,GA-14
527019,40896,486123,GA-11
504413,87268,417145,GA-12
630514,69151,561363,ID-01
494277,34271,460006,HI-01
494596,46650,447946,HI-02
515499,46059,469440,IL-18
498415,76501,421914,IL-02
517860,24785,493075,IL-14
506884,50135,456749,IL-16
,,,IL-ZZ
490310,68105,422205,IL-17
468772,37680,431092,IL-03
382822,45233,337589,IL-04
465672,31416,434256,IL-11
508398,60820,447578,IL-15
445757,28769,416988,IL-08
504239,56544,447695,IN-02
529047,65313,463734,IN-06
519454,60067,459387,IN-01
524382,50410,473972,IN-03
530095,55644,474451,IN-04
557699,56235,501464,IA-01
535915,57768,478147,IA-04
583519,49744,533775,IA-03
524281,34023,490258,KS-03
501891,54616,447275,KS-04
549310,73558,475752,KY-02
525157,85025,440132,KY-01
539344,64860,474484,KY-03
550268,58006,492262,KY-04
569604,112461,457143,LA-02
574853,67800,507053,LA-06
565753,89722,476031,LA-03
529165,46229,482936,ME-01
531833,86234,445599,FL-03
490569,70656,419913,DC-98
589513,64850,524663,FL-17
600136,71702,528434,FL-06
512674,100789,411885,FL-05
441050,77388,363662,FL-24
620429,69746,550683,FL-11
506454,46347,460107,FL-23
588742,58572,530170,FL-08
576623,52865,523758,FL-18
478003,70289,407714,FL-20
438452,54318,384134,FL-25
507150,67033,440117,ME-02
546694,44164,502530,MD-01
530881,36918,493963,MD-03
493904,31130,462774,MD-04
533803,31153,502650,MD-05
513504,71740,441764,MD-07
530133,50406,479727,MD-02
507920,39553,468367,MD-06
506048,26132,479916,MD-08
532515,32113,500402,MA-04
496031,75141,420890,MA-07
525522,52962,472560,MA-02
562041,44047,517994,MA-09
555459,35866,519593,MA-06
553559,39669,513890,MA-08
540199,63803,476396,MA-01
507129,32163,474966,MA-05
542492,66764,475728,MI-01
526796,55916,470880,MI-02
493615,89731,403884,MI-14
529963,56188,473775,MI-03
516041,83833,432208,MI-05
526553,72292,454261,MI-04
,,,MI-ZZ
543460,54263,489197,MI-09
508294,70641,437653,MI-12
483724,45748,437976,MN-07
506315,30715,475600,MN-06
507240,55181,452059,MN-08
509011,23272,485739,MN-03
501520,63995,437525,MN-05
559526,39489,520037,TX-10
516840,81600,435240,TX-35
561606,31467,530139,TX-22
478534,73090,405444,TX-19
490322,49184,441138,UT-03
503712,51198,452514,UT-02
532399,67993,464406,VA-03
559774,69543,490231,VA-04
522234,39475,482759,VA-02
548208,68708,479500,VA-06
507873,32040,475833,WA-01
518596,70772,447824,WA-05
531809,50687,481122,WA-02
536553,53250,483303,WA-06
448765,85880,362885,WV-03
525258,42749,482509,WI-01
545412,36241,509171,WI-05
553972,57720,496252,WI-02
445228,62234,382994,TX-16
501805,27576,474229,TX-24
332234,55608,276626,TX-33
515988,54076,461912,TX-11
415929,66202,349727,TX-15
472947,59454,413493,TX-23
551536,46802,504734,TX-12
552373,50002,502371,TX-08
407997,77375,330622,TX-34
458645,74677,383968,TX-30
447206,73145,374061,TX-18
508446,37331,471115,TX-02
522418,72709,449709,TX-20
572478,45575,526903,TX-31
533425,47366,486059,TX-25
495656,35765,459891,TX-32
594281,56270,538011,TX-21
549137,27474,521663,TX-03
521083,59198,461885,TX-04
460693,55164,405529,TX-13
577042,36089,540953,TX-26
427707,54138,373569,TX-09
474705,48934,425771,VT-00
499771,42002,457769,UT-01
500666,31183,469483,UT-04
561674,33610,528064,VA-01
543677,20001,523676,VA-10
546123,67112,479011,VA-05
558944,36418,522526,VA-07
495543,23915,471628,VA-11
537053,91811,445242,VA-09
518732,27454,491278,VA-08
529255,51767,477488,WA-03
529751,51282,478469,WA-10
431001,47899,383102,WA-04
576248,51734,524514,WA-07
479303,41296,438007,WA-09
512133,37512,474621,WA-08
468332,70800,397532,WV-01
476098,64069,412029,WV-02
533921,64032,469889,WI-03
