total,belowPovertyLevel,belowPovertyLevelMarried,belowPovertyLevelMarriedNoHighSchoolGrad,belowPovertyLevelMarriedHighSchoolGrad,belowPovertyLevelMarriedSomeCollege,belowPovertyLevelMarriedBachelorsOrHigher,belowPovertyLevelSingleParent,belowPovertyLevelSingleParentDad,belowPovertyLevelSingleParentDadNoHighSchoolGrad,belowPovertyLevelSingleParentDadHighSchoolGrad,belowPovertyLevelSingleParentDadSomeCollege,belowPovertyLevelSingleParentDadBachelorsOrHigher,belowPovertyLevelSingleParentMom,belowPovertyLevelSingleParentMomNoHighSchoolGrad,belowPovertyLevelSingleParentMomHighSchoolGrad,belowPovertyLevelSingleParentMomSomeCollege,belowPovertyLevelSingleParentMomBachelorsOrHigher,atOrAbovePovertyLevel,atOrAbovePovertyLevelMarried,atOrAbovePovertyLevelMarriedNoHighSchoolGrad,atOrAbovePovertyLevelMarriedHighSchoolGrad,atOrAbovePovertyLevelMarriedSomeCollege,atOrAbovePovertyLevelMarriedBachelorsOrHigher,atOrAbovePovertyLevelSingleParent,atOrAbovePovertyLevelSingleParentDad,atOrAbovePovertyLevelSingleParentDadNoHighSchoolGrad,atOrAbovePovertyLevelSingleParentDadHighSchoolGrad,atOrAbovePovertyLevelSingleParentDadSomeCollege,atOrAbovePovertyLevelSingleParentDadBachelorsOrHigher,atOrAbovePovertyLevelSingleParentMom,atOrAbovePovertyLevelSingleParentMomNoHighSchoolGrad,atOrAbovePovertyLevelSingleParentMomHighSchoolGrad,atOrAbovePovertyLevelSingleParentMomSomeCollege,atOrAbovePovertyLevelSingleParentMomBachelorsOrHigher,stateId
190089,22969,8978,1611,2278,2781,2308,13991,2011,621,698,469,223,11980,2847,3971,3700,1462,167120,119113,8949,22417,36568,51179,48007,14462,2320,3980,4530,3632,33545,3871,8158,12111,9405,FL-10
203334,11765,5138,753,1249,1447,1689,6627,962,252,466,189,55,5665,1273,1589,1527,1276,191569,154732,4770,26069,45170,78723,36837,11415,1282,2780,3803,3550,25422,1403,6130,8962,8927,FL-04
168849,14376,5242,1008,1656,1704,874,9134,1662,400,610,365,287,7472,1678,2624,2487,683,154473,116589,5942,24058,36848,49741,37884,11061,1483,3119,3795,2664,26823,2098,8027,10266,6432,FL-13
175610,21977,9274,2701,3091,2009,1473,12703,1981,666,485,488,342,10722,3205,3573,2979,965,153633,107136,11680,25343,31517,38596,46497,14496,2424,4678,4124,3270,32001,4310,8089,10272,9330,FL-26
175134,13571,6516,1234,1986,1529,1767,7055,1410,476,333,397,204,5645,925,1860,1976,884,161563,124761,6534,22461,32517,63249,36802,11169,1291,3419,3308,3151,25633,2388,5994,9282,7969,FL-22
198157,22812,9327,1539,2895,2882,2011,13485,2761,998,921,560,282,10724,2284,3625,3824,991,175345,131172,11580,31529,43713,44350,44173,13934,1883,4659,5062,2330,30239,3210,7568,11113,8348,FL-09
206487,15925,7685,1434,2385,1865,2001,8240,1628,560,553,269,246,6612,1857,2493,1752,510,190562,159415,8629,31816,48390,70580,31147,11075,1891,3839,2880,2465,20072,2150,5834,7231,4857,FL-19
190081,15635,5582,1069,1785,1796,932,10053,1738,575,605,455,103,8315,1900,2878,2957,580,174446,136366,5148,26526,53610,51082,38080,11486,1017,3412,4513,2544,26594,2482,6780,11675,5657,FL-01
179268,15827,6331,897,1482,1825,2127,9496,1645,177,620,536,312,7851,1130,2134,3430,1157,163441,125280,4117,18773,37022,65368,38161,11467,703,2786,4297,3681,26694,1617,5274,10388,9415,FL-07
170786,18742,8753,3004,2398,1453,1898,9989,1986,606,615,416,349,8003,1715,2961,1949,1378,152044,108500,9159,18083,22964,58294,43544,14660,2170,4062,3929,4499,28884,3827,7488,7877,9692,FL-27
189810,18821,6392,1835,2441,1469,647,12429,1512,449,644,276,143,10917,2361,3925,3862,769,170989,133221,8777,31420,43375,49649,37768,10195,1660,3761,2883,1891,27573,3239,7769,9558,7007,GA-03
184422,19667,5997,1587,2377,1129,904,13670,1808,390,967,353,98,11862,2692,4499,4021,650,164755,130777,8878,33380,39303,49216,33978,9837,1847,3808,2334,1848,24141,3327,7684,7590,5540,GA-10
175236,21450,6765,2158,1900,1574,1133,14685,2332,439,921,850,122,12353,2898,3912,4566,977,153786,101026,8737,20034,29142,43113,52760,12185,1649,3794,4304,2438,40575,2606,8169,15724,14076,GA-04
145203,22731,4172,968,1473,843,888,18559,2203,590,755,673,185,16356,4394,5583,5046,1333,122472,74552,4757,11213,14160,44422,47920,11469,1817,3259,2973,3420,36451,3514,9155,12383,11399,GA-05
183462,19633,5928,1460,2354,1337,777,13705,2031,637,639,499,256,11674,1534,4210,4603,1327,163829,108215,8277,25305,33242,41391,55614,13610,1955,4591,4147,2917,42004,2785,9355,16037,13827,GA-13
201302,14718,7896,2269,2041,1774,1812,6822,1045,263,256,391,135,5777,1098,1484,2303,892,186584,149240,9680,21154,36526,81880,37344,11090,1571,2414,3896,3209,26254,1657,4776,9417,10404,GA-07
158331,32177,7376,2039,2849,2092,396,24801,3535,1226,1404,725,180,21266,4608,7162,8222,1274,126154,87475,7310,25480,30653,24032,38679,9233,1807,2832,3238,1356,29446,4389,8037,11348,5672,GA-02
184951,19833,8256,3043,2974,1627,612,11577,2079,708,778,404,189,9498,2755,3246,2838,659,165118,128839,16895,39009,41971,30964,36279,12439,2720,4598,3552,1569,23840,3757,7027,8375,4681,GA-14
193178,12640,5775,1533,1338,1631,1273,6865,1161,522,199,331,109,5704,1134,1663,1970,937,180538,144380,7633,21849,39457,75441,36158,10243,1880,2865,2789,2709,25915,2103,5304,9460,9048,GA-11
167005,25117,6861,2095,2501,1700,565,18256,2314,801,920,496,97,15942,4639,5550,5067,686,141888,106070,9268,29853,33606,33343,35818,9162,1707,3525,2265,1665,26656,3210,8588,9612,5246,GA-12
224755,18368,8224,1356,2319,3173,1376,10144,1852,365,701,657,129,8292,1509,2718,3403,662,206387,171805,9869,37227,65231,59478,34582,12887,1448,4411,4560,2468,21695,2085,5574,9503,4533,ID-01
159141,8060,3806,919,1121,991,775,4254,505,73,287,128,17,3749,518,1171,1398,662,151081,114597,5323,18867,37413,52994,36484,12141,722,3584,4191,3644,24343,2306,6103,8420,7514,HI-01
160207,12462,4693,445,1474,1731,1043,7769,1758,456,737,400,165,6011,923,2186,2098,804,147745,114297,4803,25782,40168,43544,33448,11749,879,4301,4147,2422,21699,2090,6091,8303,5215,HI-02
185889,11118,4196,636,1612,1340,608,6922,1445,383,540,432,90,5477,747,2124,2147,459,174771,146906,4742,34106,45642,62416,27865,8539,732,2826,3077,1904,19326,989,5202,7781,5354,IL-18
161463,23004,5046,1178,1849,1409,610,17958,2326,525,761,854,186,15632,2442,5184,6902,1104,138459,83490,7091,20882,30122,25395,54969,11776,1366,3913,4581,1916,43193,3393,10034,19172,10594,IL-02
195511,7680,3512,604,921,1043,944,4168,558,209,191,70,88,3610,596,1224,1203,587,187831,159814,5534,24831,46908,82541,28017,9342,908,2764,3224,2446,18675,1130,4655,6780,6110,IL-14
182579,14533,5211,973,2053,1494,691,9322,1657,497,651,454,55,7665,1139,2898,3330,298,168046,134781,8939,37250,49378,39214,33265,11845,1213,4794,3986,1852,21420,1744,6304,9020,4352,IL-16
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IL-ZZ
172559,21240,5803,1389,1966,1905,543,15437,2152,818,782,509,43,13285,2872,4835,4967,611,151319,115613,8097,33009,43605,30902,35706,11391,1396,4676,3937,1382,24315,2800,6921,10640,3954,IL-17
172986,13696,6305,1932,2052,1236,1085,7391,1460,351,664,358,87,5931,1216,2141,2051,523,159290,124024,13270,30248,35691,44815,35266,12540,1896,4223,4058,2363,22726,2293,6219,8452,5762,IL-03
150124,20172,8408,3674,3108,1022,604,11764,2150,849,752,459,90,9614,3348,3139,2692,435,129952,88707,22102,22520,18434,25651,41245,15588,4403,5256,3701,2228,25657,6325,6876,7277,5179,IL-04
