LessThanHighSchoolGraduateOrEquivalency_HasAComputer_WithDial_upInternetSubscriptionAlone,LessThanHighSchoolGraduateOrEquivalency_HasAComputer_WithABroadbandInternetSubscription,LessThanHighSchoolGraduateOrEquivalency_HasAComputer_WithoutAnInternetSubscription,LessThanHighSchoolGraduateOrEquivalency_NoComputer,HighSchoolGraduate(includesEquivalency)_SomeCollegeOrAssociatesDegree_HasAComputer_WithDial_upInternetSubscriptionAlone,HighSchoolGraduate(includesEquivalency)_SomeCollegeOrAssociatesDegree_HasAComputer_WithABroadbandInternetSubscription,HighSchoolGraduate(includesEquivalency)_SomeCollegeOrAssociatesDegree_HasAComputer_WithoutAnInternetSubscription,HighSchoolGraduate(includesEquivalency)_SomeCollegeOrAssociatesDegree_NoComputer,BachelorsDegreeOrHigher_HasAComputer_WithDial_upInternetSubscriptionAlone,BachelorsDegreeOrHigher_HasAComputer_WithABroadbandInternetSubscription,BachelorsDegreeOrHigher_HasAComputer_WithoutAnInternetSubscription,BachelorsDegreeOrHigher_NoComputer,stateId
77,49061,4994,7300,412,259254,12243,11745,195,126403,3948,2493,CA-03
0,96132,26717,25004,499,168858,16489,16342,31,40149,2563,1477,CA-21
161,47222,5002,923,503,214432,12037,4822,220,224453,4715,2591,CA-48
156,68477,11584,6378,365,279868,15846,10855,39,85483,1379,1157,CA-10
0,107552,24069,15892,338,166612,16674,12102,0,144429,6253,4089,CA-34
71,20846,1184,2178,247,168680,5756,5760,68,320115,4880,2926,CA-52
261,48278,3849,3671,430,227368,11209,6189,326,242661,5849,3326,CA-30
269,19142,2901,1081,0,139365,7347,5138,89,334345,7945,2884,CA-18
104,89729,14341,4844,74,190800,13324,7354,198,131958,4702,3063,CA-20
87,52688,4441,2534,717,310938,18174,6356,119,140046,3308,1252,CA-42
0,56730,5969,5626,1592,239039,9772,12096,52,128006,2397,1278,CA-25
42,84769,10498,9916,189,236306,21338,9098,120,100645,5135,1801,CA-32
111,93396,6571,8458,156,218964,13242,10744,0,144586,3251,2207,CA-43
0,102613,14529,7804,38,238058,16447,6649,48,82887,4171,767,CA-35
40,46642,6335,8755,272,158076,15824,15154,246,284309,7301,3822,CA-13
364,123822,19933,10692,330,204205,18091,6403,121,63519,2767,1192,CA-44
0,45432,2278,1656,497,199323,5013,5485,0,227988,5466,2210,CA-49
0,51362,4361,2399,1285,256846,12600,10419,483,167137,3183,1204,CA-05
157,114350,9799,11330,292,211289,10796,10431,167,99997,3093,3014,CA-29
253,39419,3231,2213,949,272385,16175,8829,75,173199,3049,2348,CA-07
29,44343,3329,2271,315,220599,7008,5424,237,210152,3670,2524,CA-39
0,53204,4270,2976,47,264768,11566,8990,86,150317,3512,1963,CA-50
0,50037,8807,7825,1026,264247,14690,13402,521,100328,3303,2087,CA-23
127,97149,11225,13244,126,232270,15596,10124,61,68746,2256,2526,CA-51
7,33788,4008,4997,1286,270412,24570,17884,288,118968,5723,3087,CA-01
35,144608,22694,16401,208,179176,17260,5956,205,41361,977,567,CA-40
0,25369,1568,1304,119,195527,5313,4888,129,303068,5173,2098,CA-45
0,55035,15668,9084,427,243500,20344,11683,0,111651,3210,2026,CA-22
288,71226,13003,5271,642,261852,17183,9234,35,108476,2827,1081,CA-09
78,53174,5990,6157,90,191703,14065,6462,117,229049,6326,3856,CA-27
0,50481,2592,4596,145,199440,5613,7107,102,261746,3702,3084,CA-14
0,34448,4537,3750,756,213227,12399,14860,132,210429,4668,3224,CA-02
125,39735,3968,5865,331,219030,7008,14421,151,310956,9019,2954,CO-01
11,31604,5732,6462,1578,260472,27684,17582,693,165583,6025,2535,CO-03
0,40569,5917,4426,626,279685,12485,12713,282,209428,3983,1761,CO-04
85,16623,1874,1428,595,199750,10925,7319,696,305770,10012,2686,CO-02
0,38739,1844,1828,785,249013,9088,6755,28,238140,4840,2116,CO-06
115,26685,5129,6874,698,122537,19001,13850,136,288968,7610,2206,DC-98
157,35098,2452,7591,493,242583,12218,17515,305,175154,4269,2084,CT-03
36,35998,3384,6582,441,166317,8238,9538,151,254500,3707,3154,CT-04
80,20172,3723,5513,461,247107,11832,14661,425,169238,2547,3023,CT-02
440,46106,9022,10457,631,340766,30625,21261,168,130907,6390,3257,FL-17
56,35874,9296,5237,624,330265,43215,15309,75,134343,9477,2068,FL-06
0,41528,7966,12176,120,252528,25276,23622,112,92337,3239,2958,FL-05
110,64688,26971,10541,157,230245,59314,15749,61,94589,9078,2223,FL-24
122,45894,5287,9838,825,373272,24822,16139,526,139741,5393,2782,FL-11
0,35097,3311,3048,116,248389,21652,6858,201,209693,7122,1905,FL-23
0,35678,4655,4960,972,317774,19726,19216,219,169028,5223,3597,FL-08
74,46143,4188,5951,173,311910,17327,10497,105,182736,5335,3311,FL-18
0,59650,14636,10229,353,273717,39637,15128,0,104571,4420,2728,FL-20
0,98841,16098,19774,44,240036,21795,16259,529,145021,5766,2333,FL-25
309,29231,2750,7005,733,265582,16908,13593,157,147013,3916,1272,FL-03
0,52303,15551,6489,182,263140,20588,10112,0,173361,4468,2758,FL-10
0,30029,3898,3365,257,273535,16120,11423,156,240540,3530,2874,FL-04
53,39627,5032,6256,323,274927,24458,14345,122,176073,4903,4385,FL-13
124,79574,10712,4297,274,248682,25320,8469,46,139138,11983,1907,FL-26
0,35754,4087,4908,268,253205,21223,11026,121,226030,7612,4266,FL-22
425,60683,10035,8474,2411,332732,34964,13398,526,156595,4091,602,FL-09
35,53258,5997,4367,365,328573,17581,9804,303,203635,10335,3103,FL-19
0,34993,6374,7081,957,303248,19478,16702,245,140899,4206,2223,FL-01
0,33563,2974,2478,203,261690,15740,10778,96,223012,6248,1680,FL-07
0,45940,23506,11254,231,197749,34635,11430,134,209659,17081,2327,FL-27
283,36428,5374,12081,349,266940,26807,18000,317,126479,2382,1814,GA-03
166,34223,6745,13902,712,237807,19532,22458,48,141515,2491,1417,GA-10
0,46061,7261,9133,114,262946,18983,10423,77,152587,3570,3128,GA-04
61,33523,5390,9144,93,180591,24382,20460,0,243139,8236,3164,GA-05
68,57139,10872,14338,588,270806,20360,20753,230,122803,2857,2045,GA-09
107,39500,14398,3854,69,214722,14791,7366,119,237379,5702,1531,GA-07
0,21457,2587,3300,198,138578,6786,5786,458,329903,4352,2061,GA-06
111,35338,7663,9166,660,246597,38671,16527,78,120888,7218,2291,GA-01
0,39795,2783,6671,162,227184,15797,8103,125,222434,2690,2920,GA-11
0,32142,10498,15049,862,224670,33817,29211,66,97156,5218,3136,GA-08
49,34639,6069,5275,1263,289539,19819,12984,198,157926,4666,2153,ID-02
72,30697,3614,4692,139,250596,12623,13499,92,177557,6913,2938,HI-01
0,36521,5276,9024,216,230504,23000,25113,100,143209,5677,3047,IL-01
0,42918,5564,13780,396,167921,18251,20639,117,214741,11912,2813,IL-07
0,34915,3505,7698,222,257267,18224,21379,134,99576,4587,1558,IL-02
0,26029,5946,5391,0,161809,11870,15960,0,289727,9124,3931,IL-05
195,17914,6201,6485,993,215521,27884,24354,321,130326,7333,2032,IL-13
138,18037,1371,2033,181,191162,6926,7971,87,254701,2686,4638,IL-06
62,40483,3394,6821,331,183000,9974,10898,137,200891,3023,2880,IL-10
181,79492,14731,9244,137,180448,18712,22780,52,118563,4938,2126,IL-04
50,27889,5754,5534,130,149683,14003,11828,88,271271,7856,4015,IL-09
342,25216,5693,9899,951,256252,20709,28322,354,106414,3773,1388,IL-12
0,47123,6093,4444,269,235325,11839,8224,214,164712,3101,2222,IL-08
139,26662,6161,7300,1102,265326,34487,22288,278,129486,5489,2268,IN-09
418,30084,3519,10243,1208,273398,23177,23278,260,101534,2718,2001,IN-08
78,30471,5048,6774,957,277964,23222,22217,474,106963,3365,2914,IN-01
0,19018,3437,6426,476,211402,16681,14471,146,247411,5186,3310,IN-05
0,55001,7304,12068,288,245351,21866,28528,68,120207,2167,2814,IN-07
