InTheCivilianLaborForce_Employed_HasAComputer_WithDial_upInternetSubscriptionAlone,InTheCivilianLaborForce_Employed_HasAComputer_WithABroadbandInternetSubscription,InTheCivilianLaborForce_Employed_HasAComputer_WithoutAnInternetSubscription,InTheCivilianLaborForce_Employed_NoComputer,InTheCivilianLaborForce_Unemployed_HasAComputer_WithDial_upInternetSubscriptionAlone,InTheCivilianLaborForce_Unemployed_HasAComputer_WithABroadbandInternetSubscription,InTheCivilianLaborForce_Unemployed_HasAComputer_WithoutAnInternetSubscription,InTheCivilianLaborForce_Unemployed_NoComputer,NotInLaborForce_HasAComputer_WithDial_upInternetSubscriptionAlone,NotInLaborForce_HasAComputer_WithABroadbandInternetSubscription,NotInLaborForce_HasAComputer_WithoutAnInternetSubscription,NotInLaborForce_NoComputer,stateId
116,311956,13514,7828,0,15308,939,451,568,192701,12935,15037,CA-03
208,219651,27890,15482,0,22529,2146,2198,322,143688,23691,29014,CA-21
222,356073,13637,1518,73,16128,421,71,589,180319,9850,6978,CA-48
46,312974,15620,5467,0,21957,1120,585,514,190050,16836,12999,CA-10
214,331627,30606,8822,0,18567,1416,923,124,140903,20527,23648,CA-34
60,387590,5626,3709,0,13875,541,350,326,174615,6694,7621,CA-52
275,395750,12677,2903,181,18733,186,320,745,175537,9078,10066,CA-30
156,362467,10079,2428,0,9634,463,29,202,180492,9483,6646,CA-18
50,312938,22131,5129,104,14499,1518,423,222,168773,14454,10493,CA-20
604,355452,18069,2788,80,18659,1124,243,455,216253,11334,7704,CA-42
1126,307961,9628,5253,39,14666,209,251,1039,179850,13232,14214,CA-25
274,308477,22676,8009,150,16407,1717,190,373,168336,16863,14188,CA-32
141,356541,12584,5604,0,17523,646,697,126,155950,12232,15368,CA-43
0,331872,20917,6250,0,16219,614,265,86,171993,18790,9369,CA-35
150,380663,20392,7774,0,15700,1590,764,408,160836,12739,20451,CA-13
171,299209,23849,5742,0,22170,2173,741,644,155667,20963,12546,CA-44
0,339813,6805,2493,0,18095,744,0,497,175554,6449,6911,CA-49
493,352459,11978,4276,0,13569,189,376,1275,178761,10354,11007,CA-05
0,339639,15998,10778,0,17162,1065,586,616,155884,10274,15285,CA-29
555,352715,10223,3716,44,18058,2099,615,767,187945,12215,10389,CA-07
245,353577,7970,2964,0,16905,368,335,336,179693,7411,7261,CA-39
0,335150,11306,3950,0,14965,344,505,133,195364,10785,10152,CA-50
1292,283892,11128,6542,0,22881,3337,225,649,181918,16908,17673,CA-23
130,283853,15000,6491,0,32157,1289,434,184,162092,17000,19682,CA-51
413,274172,17186,4938,0,15472,856,924,1168,203349,18803,21303,CA-01
168,289044,27289,10546,104,17500,2799,1356,176,151058,19531,13225,CA-40
0,394923,6208,1850,0,12802,367,0,248,201606,7010,6684,CA-45
62,304789,22981,5125,0,19317,2978,1221,365,164178,22534,19110,CA-22
179,321810,15473,2894,0,19085,1857,476,786,190568,18828,12739,CA-09
130,345337,13166,4066,0,10785,922,269,155,179018,15042,12390,CA-27
102,401996,9165,3388,0,11600,384,159,145,170483,5019,11487,CA-14
249,320026,13802,5951,36,14689,934,765,603,187709,9644,16473,CA-02
273,473574,13746,5842,0,14462,179,228,334,153711,8387,17229,CO-01
222,330492,23876,6537,0,12085,1627,402,2060,183694,19136,20546,CO-03
414,426655,14971,4938,0,13081,882,282,494,174428,11984,14342,CO-04
599,425828,15408,3530,133,13335,373,225,997,182497,10463,7715,CO-02
361,433705,9997,4297,0,16400,607,197,556,161472,6303,6688,CO-06
602,355471,17858,4783,0,19876,3409,596,347,111959,13770,18494,DC-98
496,345228,10828,5405,0,21759,909,773,459,156986,9599,22289,CT-03
170,349969,7549,4619,0,20070,575,270,458,164387,8777,14499,CT-04
0,332668,11920,6086,0,15333,791,574,966,149245,9233,17419,CT-02
568,259611,21443,9107,0,13263,1003,643,837,301591,30857,27705,FL-17
0,301827,34302,6255,0,12209,927,310,755,245019,34654,17155,FL-06
58,301835,23703,14444,0,19402,1176,1819,174,150384,16183,25831,FL-05
62,301620,57327,8291,0,14787,2597,857,266,136075,47459,21519,FL-24
258,247524,12111,5428,0,14371,592,573,1315,351324,27722,23081,FL-11
114,372174,16384,2432,0,13386,647,344,203,181684,17821,9178,FL-23
125,310772,11729,9937,0,17753,1646,0,1066,254860,21465,20152,FL-08
51,351028,13941,3816,0,14919,1283,88,301,239944,15308,16409,FL-18
132,344846,35272,10071,115,24925,4015,807,352,150294,25395,18222,FL-20
44,349778,24772,11760,0,10253,308,750,529,201953,23014,27441,FL-25
416,309839,15642,5580,0,16464,1133,583,806,201338,16077,16236,FL-03
41,391777,29921,8019,0,16937,1803,298,141,157597,15292,12311,FL-10
349,388046,15650,5897,0,17780,332,731,64,200648,10571,11570,FL-04
0,330090,16362,4808,0,16458,444,1204,498,199965,22244,20223,FL-13
0,344827,32386,3921,0,14303,324,477,444,184187,18793,10940,FL-26
0,365833,18956,4999,0,15700,885,449,389,197845,14814,15468,FL-22
2333,388205,33846,6423,0,16646,1107,320,1029,242215,21666,17224,FL-09
189,324178,13588,4351,0,12571,703,171,514,309386,23055,13235,FL-19
287,320335,18026,7735,63,14878,1724,1212,852,194258,16488,18487,FL-01
113,405682,15783,3842,0,16014,935,216,250,184478,11726,11451,FL-07
