total,veteran,veteranNoHighSchoolGrad,veteranHighSchoolGrad,veteranSomeCollege,veteranBachelorsOrHigher,nonVeteran,nonVeteranNoHighSchoolGrad,nonVeteranHighSchoolGrad,nonVeteranSomeCollege,nonVeteranBachelorsOrHigher,stateId
554941,34732,2205,9355,12297,10875,520209,69000,132166,154350,164693,FL-10
559188,70272,2404,15742,25018,27108,488916,34344,113722,140652,200198,FL-04
557869,62500,3345,16742,23001,19412,495369,48944,141351,152971,152103,FL-13
525660,19443,991,4568,7396,6488,506217,91108,143012,133076,139021,FL-26
563206,38310,1658,8466,13191,14995,524896,45637,127659,142388,209212,FL-22
588243,51065,3536,14310,20522,12697,537178,77132,163674,164154,132218,FL-09
624178,64549,3188,16125,21256,23980,559629,62112,160636,154455,182426,FL-19
518264,95489,2993,20473,40248,31775,422775,45508,120693,145811,110763,FL-01
525837,41736,1579,9300,14955,15902,484101,34491,103255,151725,194630,FL-07
555824,13764,655,2814,3950,6345,542060,77561,125469,119600,219430,FL-27
487967,51819,2908,13005,19196,16710,436148,56570,137997,127292,114289,GA-03
483719,41873,2252,13181,14520,11920,441846,60211,143293,119215,119127,GA-10
496930,42094,1544,10733,15975,13842,454836,59151,118331,135079,142275,GA-04
516198,32996,1551,9724,10890,10831,483202,54865,108052,108302,211983,GA-05
491890,48778,2620,13432,19256,13470,443112,51415,129743,132126,129828,GA-13
519814,31268,1029,5616,11759,12864,488546,56363,99587,125380,207216,GA-07
434229,45889,2894,14534,18239,10222,388340,72680,133136,116798,65726,GA-02
477123,39144,3545,13402,15441,6756,437979,87597,149493,123315,77574,GA-14
513662,41832,1722,8433,15528,16149,471830,44216,98879,128155,200580,GA-11
465777,54855,2920,15038,22510,14387,410922,71923,141636,112470,84893,GA-12
590461,65281,3544,17175,27538,17024,525180,50132,153122,186074,135852,ID-01
491677,51415,1673,11602,19182,18958,440262,42502,109793,129392,158575,HI-01
475810,47945,1767,12714,18835,14629,427865,33724,132762,135362,126017,HI-02
486770,44355,2355,15617,15283,11100,442415,27950,129533,135804,149128,IL-18
460385,31804,2560,9967,13005,6272,428581,51214,126904,151343,99120,IL-02
486539,32386,1278,8848,11580,10680,454153,28422,101788,132807,191136,IL-14
474902,42787,3336,15807,15656,7988,432115,42624,143026,146267,100198,IL-16
,,,,,,,,,,,IL-ZZ
466596,42008,3100,15564,16260,7084,424588,52347,144440,144287,83514,IL-17
482451,25026,1744,8659,8963,5660,457425,65159,134983,125021,132262,IL-03
452376,11453,1177,3161,4150,2965,440923,115307,122745,92116,110755,IL-04
470565,26634,1595,7331,10480,7228,443931,60251,103186,120401,160093,IL-11
479953,45980,3294,16705,18195,7786,433973,46357,147745,151681,88190,IL-15
483919,21522,1246,6405,8249,5622,462397,64691,111438,127389,158879,IL-08
475990,38113,3115,16049,12434,6515,437877,65020,152935,120864,99058,IN-02
487253,45415,3579,19300,14652,7884,441838,50713,170286,123779,97060,IN-06
486491,39513,2791,16058,13620,7044,446978,46998,156422,136300,107258,IN-01
485665,39750,2927,14719,14549,7555,445915,56032,149064,134781,106038,IN-03
487814,43557,3044,17041,15488,7984,444257,44074,148628,129075,122480,IN-04
516857,47724,3114,18106,16272,10232,469133,35126,152091,152661,129255,IA-01
498598,44115,3195,17239,15451,8230,454483,38721,144775,155205,115782,IA-04
555722,44786,2275,13794,17008,11709,510936,42336,135988,157807,174805,IA-03
511308,36867,1311,7736,13126,14694,474441,37155,85450,121222,230614,KS-03
471631,45058,2317,12784,18436,11521,426573,44255,115277,139442,127599,KS-04
503394,54959,4200,17676,21187,11896,448435,61620,160971,134197,91647,KY-02
484186,44480,4240,16662,16510,7068,439706,68618,170764,124848,75476,KY-01
513954,43986,3253,12407,16578,11748,469968,46073,127203,141266,155426,KY-03
514818,46285,3034,14850,16820,11581,468533,51432,143704,137315,136082,KY-04
537330,33101,2657,10691,12080,7673,504229,89744,157296,137472,119717,LA-02
517544,37013,2461,11124,13238,10190,480531,55636,152043,129557,143295,LA-06
521571,38955,3181,13855,14771,7148,482616,77166,179394,119551,106505,LA-03
497837,49479,2421,15622,16037,15399,448358,27448,120547,122208,178155,ME-01
491244,64171,2916,18194,25059,18002,427073,50487,132503,125323,118760,FL-03
491908,25763,1384,4788,6187,13404,466145,43466,78321,70214,274144,DC-98
591480,75954,4916,24131,26740,20167,515526,68695,189883,146765,110183,FL-17
570604,72117,4420,21387,26834,19476,498487,49333,161175,169498,118481,FL-06
470084,53369,3338,15323,23090,11618,416715,65294,140668,125309,85444,FL-05
510577,15531,1270,5035,5791,3435,495046,107340,158354,128000,101352,FL-24
608717,93036,5267,29190,34745,23834,515681,61293,184389,163465,106534,FL-11
538938,26591,1412,6080,9885,9214,512347,40765,116150,148290,207142,FL-23
562662,81374,3925,19713,30797,26939,481288,43867,142471,154046,140904,FL-08
574826,59257,2591,14916,21334,20416,515569,55532,140168,155120,164749,FL-18
525589,24119,1754,6940,9140,6285,501470,90604,163687,142507,104672,FL-20
554486,19507,1667,4523,6227,7090,534979,121871,157170,124124,131814,FL-25
474689,53601,3925,19588,19008,11080,421088,38158,150602,127699,104629,ME-02
510107,49856,3412,15859,15738,14847,460251,44039,142244,125899,148069,MD-01
521900,44318,1975,9484,12791,20068,477582,40419,95288,106403,235472,MD-03
512811,47581,2293,11307,15849,18132,465230,62843,120720,124136,157531,MD-04
508035,62386,2246,14195,22204,23741,445649,41075,123866,125273,155435,MD-05
498335,36073,2991,9650,11004,12428,462262,52497,116864,111278,181623,MD-07
513838,45843,3087,12241,16172,14343,467995,51794,134297,127251,154653,MD-02
523557,38945,1566,10666,11603,15110,484612,49894,113504,114622,206592,MD-06
529276,35402,1347,5915,9105,19035,493874,43954,81037,94213,274670,MD-08
520178,32491,2182,9251,9706,11352,487687,32698,94123,104228,256638,MA-04
540745,15452,1343,4400,4461,5248,525293,77850,112838,95817,238788,MA-07
506071,37788,2917,12485,12643,9743,468283,40295,122049,116977,188962,MA-02
536524,45987,2924,14098,13469,15496,490537,46559,136074,131065,176839,MA-09
544912,36267,1951,11118,10888,12310,508645,38479,118825,116723,234618,MA-06
557038,33709,1713,9721,10472,11803,523329,41738,112691,113536,255364,MA-08
505023,41443,3020,14606,13306,10511,463580,56398,137655,128022,141505,MA-01
543884,24714,1647,6974,5620,10473,519170,32282,93607,85416,307865,MA-05
507148,58166,3778,19817,21996,12575,448982,34470,146884,149280,118348,MI-01
485705,40311,2572,13458,15455,8826,445394,42428,138733,144950,119283,MI-02
469648,27380,2160,7679,10191,7350,442268,54935,109434,136252,141647,MI-14
496626,37608,2174,12035,14014,9385,459018,40457,127268,141747,149546,MI-03
469455,42920,3232,15442,17792,6454,426535,44582,140287,155777,85889,MI-05
480489,46284,3235,17740,17718,7591,434205,39562,150063,145996,98584,MI-04
,,,,,,,,,,,MI-ZZ
516501,36468,2698,11152,14536,8082,480033,48058,131529,150516,149930,MI-09
462841,31228,2226,9687,11966,7349,431613,42371,108860,125777,154605,MI-12
449927,41557,3319,15721,14621,7896,408370,33813,129443,151972,93142,MN-07
462760,38007,1892,12875,15018,8222,424753,23603,112898,154278,133974,MN-06
468348,50415,3276,17808,19567,9764,417933,28133,131105,157887,100808,MN-08
500115,34207,998,7343,12207,13659,465908,21501,78653,130495,235259,MN-03
489630,27771,1514,6756,10001,9500,461859,41793,80555,119221,220290,MN-05
580031,38361,1703,7893,14173,14592,541670,58691,118028,143857,221094,TX-10
522041,45525,2646,11511,19257,12111,476516,107258,140397,126953,101908,TX-35
584143,33868,1449,6598,12666,13155,550275,50529,96720,148642,254384,TX-22
446385,37225,3015,10294,14986,8930,409160,75536,121816,118442,93366,TX-19
418906,22238,714,3839,8112,9573,396668,21755,66811,141695,166407,UT-03
476585,34920,1435,7473,14042,11970,441665,42304,105059,149574,144728,UT-02
472900,80033,3330,19776,34228,22699,392867,48044,114282,126692,103849,VA-03
523222,61577,3985,15197,23162,19233,461645,61815,130525,131753,137552,VA-04
469308,88131,2646,16614,36304,32567,381177,34546,91414,121518,133699,VA-02
510249,49530,4041,15922,16254,13313,460719,59167,150401,123580,127571,VA-06
526432,42214,1466,9252,16962,14534,484218,28854,92647,144786,217931,WA-01
479999,59806,2600,13480,26576,17150,420193,30902,101259,160797,127235,WA-05
508568,55842,1843,11969,24347,17683,452726,39000,104547,161742,147437,WA-02
501627,77464,2685,16310,34175,24294,424163,33543,107640,152734,130246,WA-06
416656,39485,4051,17300,11752,6382,377171,65625,156816,92956,61774,WV-03
496576,42287,2304,14814,15957,9212,454289,37524,136472,145365,134928,WI-01
510986,39302,1937,12700,14161,10504,471684,25097,123817,140606,182164,WI-05
507276,36690,1834,10963,12169,11724,470586,26948,107527,132473,203638,WI-02
442154,43555,2396,8631,19698,12830,398599,86035,94510,122017,96037,TX-16
551798,34002,962,5859,11952,15229,517796,49813,90069,136373,241541,TX-24
430080,18163,2093,6063,6687,3320,411917,170455,120235,77731,43496,TX-33
498910,44932,3342,12075,18121,11394,453978,82634,139249,136779,95316,TX-11
458272,27747,1754,6889,10018,9086,430525,131802,109624,105629,83470,TX-15
