Less_than_high_school_graduate_In_labor_force_In_Armed_Forces,Less_than_high_school_graduate_In_labor_force_Civilian_Employed,Less_than_high_school_graduate_In_labor_force_Civilian_Unemployed,Less_than_high_school_graduate_Not_in_labor_force,High_school_graduate__includes_equivalency__In_labor_force_In_Armed_Forces,High_school_graduate__includes_equivalency__In_labor_force_Civilian_Employed,High_school_graduate__includes_equivalency__In_labor_force_Civilian_Unemployed,High_school_graduate__includes_equivalency__Not_in_labor_force,Some_college_or_associate's_degree_In_labor_force_In_Armed_Forces,Some_college_or_associate's_degree_In_labor_force_Civilian_Employed,Some_college_or_associate's_degree_In_labor_force_Civilian_Unemployed,Some_college_or_associate's_degree_Not_in_labor_force,Bachelor's_degree_or_higher_In_labor_force_In_Armed_Forces,Bachelor's_degree_or_higher_In_labor_force_Civilian_Employed,Bachelor's_degree_or_higher_In_labor_force_Civilian_Unemployed,Bachelor's_degree_or_higher_Not_in_labor_force,stateId
0,28396,1059,20506,397,61458,3093,27181,2364,96813,4554,31944,1344,81919,2656,16267,CA-03
27,69422,8399,52211,677,58854,5638,32988,2595,58085,4639,26078,1177,29312,1154,6697,CA-21
0,25715,938,12957,195,47552,1978,12928,179,88491,2989,18415,47,147679,5037,26685,CA-48
0,35851,2798,26136,0,81510,4729,34172,43,102771,5067,26299,0,57801,2574,10561,CA-10
0,77666,3348,31987,0,57082,3746,28066,0,64586,3272,17694,350,118393,4952,14508,CA-34
0,10524,26,6290,1659,27185,712,10216,4061,73605,2548,19404,4407,220358,7298,39059,CA-52
65,31510,1214,10383,0,54420,1865,15444,77,92185,3722,22119,0,171634,7319,24176,CA-30
0,13360,182,5581,0,30388,559,10559,80,51984,1931,17914,338,224634,5493,44853,CA-18
0,60404,3404,29260,55,52681,2759,19026,663,72228,3377,22067,1817,84337,1806,13251,CA-20
0,25367,894,18722,154,78673,3980,28694,1388,119060,5629,39491,561,97983,2893,19432,CA-42
0,30075,1559,22947,192,57221,3807,26578,51,95589,2306,29126,103,90402,3013,15460,CA-25
0,44919,2077,22483,0,79342,5639,24436,0,85714,2969,21443,0,75488,3018,8731,CA-32
