Less_than_USD_10_000,USD_10_000_to_USD_14_999,USD_15_000_to_USD_19_999,USD_20_000_to_USD_24_999,USD_25_000_to_USD_29_999,USD_30_000_to_USD_34_999,USD_35_000_to_USD_39_999,USD_40_000_to_USD_44_999,USD_45_000_to_USD_49_999,USD_50_000_to_USD_59_999,USD_60_000_to_USD_74_999,USD_75_000_to_USD_99_999,USD_100_000_to_USD_124_999,USD_125_000_to_USD_149_999,USD_150_000_to_USD_199_999,USD_200_000_or_more,stateId
14167,10517,6338,7865,10206,9290,9588,10053,8382,17922,25963,33753,26796,18464,24142,21709,CA-03
14809,9569,13201,14995,12500,12728,8525,9811,9234,14680,21376,21761,12993,7243,8351,4841,CA-21
9467,5900,5957,7783,6806,6625,7167,7673,7189,13657,19523,33420,30161,20350,29990,53131,CA-48
9800,8040,8492,9112,10261,9199,9353,9999,9277,19361,24801,32824,26508,18247,18508,15133,CA-10
25169,16286,13694,12294,11306,13286,9924,10621,10119,18710,25670,27728,20299,12639,12876,16728,CA-34
11979,8708,5845,5606,5443,5375,6981,6974,6381,15082,18793,34978,34563,25715,35423,59848,CA-52
11256,9918,8383,8780,8008,8938,9061,8502,8402,15481,23897,35150,32649,19966,28145,46389,CA-30
6636,6004,3686,3411,4054,5700,6595,5187,4326,8953,16800,24599,21897,18498,31925,103587,CA-18
7769,6143,8932,9375,8780,7145,8940,8166,7456,13163,20793,33454,22857,18934,20269,28956,CA-20
7732,4852,5050,5545,7141,7032,6652,6892,6669,16224,23017,30253,30381,21939,27790,28854,CA-42
9396,5342,5723,7704,6107,6624,7339,8760,6482,15818,19022,30790,26281,15264,24131,26299,CA-25
7195,9916,6814,9389,7225,8559,9318,7558,6899,12638,20416,29806,23472,14229,16049,12959,CA-32
13116,11051,8325,9497,9745,9581,9505,10414,10284,18637,23570,30597,25074,15393,20267,21047,CA-43
7981,6389,5931,7242,7079,7624,8375,7531,7857,15067,21566,34350,22443,18116,14896,9522,CA-35
16987,14432,7613,10134,9201,9078,6702,9839,7101,14456,22365,29744,29871,20221,31858,55294,CA-13
8540,10410,7608,9362,10247,9550,7908,8607,6726,18046,20522,25005,16136,11902,11107,9354,CA-44
7514,5384,4186,6678,7825,7506,6608,8409,8248,12220,20354,31949,26860,21600,27498,51064,CA-49
10538,6751,5547,6879,5817,9172,8001,10950,9775,18725,24382,40452,28662,20795,26945,35289,CA-05
11760,11815,10017,9056,7973,9369,10388,9685,7279,16457,22890,27717,19275,12692,12754,12744,CA-29
11559,8569,6452,9064,6524,9989,9913,10490,8798,18837,30250,37376,31414,18426,25927,29183,CA-07
6821,4447,4199,5165,5321,6745,4315,7186,7014,13847,22921,30784,29937,21374,26021,33640,CA-39
13326,5890,7798,8920,7995,8732,9446,8420,7495,17406,23256,30190,26830,18920,24345,26588,CA-50
11974,16924,10640,12542,10045,9857,8157,10131,9528,17425,24152,28131,24007,17023,21476,15648,CA-23
10040,15866,11598,8753,10604,10369,10390,10845,10005,15569,20784,29061,17685,10679,9468,6135,CA-51
15121,13069,12521,15289,12359,13833,12453,11218,10269,16771,26734,36753,22163,16042,18626,18102,CA-01
8447,9719,9186,12314,8915,10137,11313,9278,7111,14028,19484,24135,14136,8160,8767,4290,CA-40
14179,7625,4698,4856,5436,5698,6277,5153,4861,12794,17708,31475,31993,26028,39658,63526,CA-45
12842,9103,8013,8925,11892,11460,10402,12157,8853,18204,27519,34221,27291,14373,20908,14833,CA-22
10959,7927,7886,10016,9886,10866,8127,8725,9317,15784,25224,30393,21664,16727,24148,24115,CA-09
11229,7049,6639,6277,6300,6704,5883,5858,6313,16756,22646,31806,25726,20615,26797,37099,CA-27
6670,5360,5919,5438,4425,4945,4912,6219,5426,9562,17386,24236,26429,18159,32906,77138,CA-14
11477,15413,8703,9146,11223,8646,9557,11235,9984,17196,21994,34139,24952,19900,24248,48047,CA-02
18964,12786,9804,13139,11815,13352,13320,12393,10430,25060,36455,46171,39190,28563,32784,44272,CO-01
19950,14288,11316,14531,12841,14227,14160,14162,13306,23174,31482,42067,28800,15967,15486,18031,CO-03
12374,9458,8157,11420,10639,11795,9690,9811,9052,19888,30460,46231,36486,28657,32157,32416,CO-04
15846,8620,9293,9524,7852,9900,8828,9357,10938,18300,34254,46045,34214,26856,35431,48516,CO-02
10558,4454,5023,8583,8028,8598,8358,10981,11249,22268,30618,41589,33530,25102,35806,36742,CO-06
23471,9733,8681,5639,6895,6421,10168,5903,8744,15567,19767,32011,25923,21397,30966,60284,DC-98
15557,11241,13633,13298,9619,10876,9876,10002,9015,18487,25989,36353,26024,18242,25728,25164,CT-03
11705,8153,6549,9952,6830,6079,7535,6541,6892,11947,21179,25807,21373,17911,28025,67510,CT-04
