Less_than_high_school_graduate,High_school_graduate__includes_equivalency_,Some_college_or_associate's_degree,Bachelor's_degree,Graduate_or_professional_degree,Male_Less_than_high_school_graduate,Male_High_school_graduate__includes_equivalency_,Male_Some_college_or_associate's_degree,Male_Bachelor's_degree,Male_Graduate_or_professional_degree,Female_Less_than_high_school_graduate,Female_High_school_graduate__includes_equivalency_,Female_Some_college_or_associate's_degree,Female_Bachelor's_degree,Female_Graduate_or_professional_degree,stateId
24702,38050,45247,55022,71997,30424,42394,52095,70366,88853,15587,31122,38825,45596,65675,CA-03
22336,26517,34010,51905,81386,25469,30940,44584,62075,96690,15505,23012,26402,44394,69705,CA-21
24665,35203,44198,72255,100597,29527,39694,51804,86523,121687,20613,31062,37347,60764,82205,CA-48
30274,35847,45339,61963,83474,35875,44552,54775,70970,86213,15506,26858,35958,55133,81838,CA-10
23408,27526,35318,51173,75420,25810,29890,36080,54165,80626,19416,25147,33735,47457,68424,CA-34
25169,36266,40844,75230,99345,26599,43441,48765,81459,115608,20604,25905,35891,62127,78937,CA-52
24866,35191,42446,61208,86462,28731,38515,49917,66730,98111,21249,30231,38603,53123,79398,CA-30
31044,40363,51200,92090,140816,35129,45715,62292,120913,171256,27553,32849,42817,71638,100479,CA-18
25368,33963,40400,60181,85961,30290,39522,50446,80239,107140,20150,27476,33957,49782,71102,CA-20
30482,35763,49836,60755,82295,37483,46825,62027,76198,90106,22768,27928,32050,45380,80837,CA-42
33775,36997,44619,71484,90796,37276,41199,57413,91189,107098,22867,31444,36381,55514,77313,CA-25
25931,30844,36950,49905,71436,30672,32397,42813,54823,87054,21277,26897,31466,41965,62230,CA-32
26427,31069,38104,58196,80091,30479,33944,41930,61433,85918,22185,26573,34146,55217,75483,CA-43
27122,32668,37078,51824,66170,32085,40126,42216,62170,72051,20076,27117,33968,44109,61935,CA-35
26925,37379,42840,68875,90622,31509,41887,47377,77660,101670,20400,31584,38451,62118,82376,CA-13
25107,31189,34049,47343,70967,27154,35816,40197,51417,78774,20906,26232,30492,43592,62351,CA-44
27266,31757,40038,71202,96338,31449,35562,46541,90536,122347,20378,29327,31344,53786,77427,CA-49
30299,39945,45390,66029,80897,34571,46642,52416,75207,97025,22985,30511,36515,61073,69435,CA-05
25024,30912,34492,45632,71279,30156,33519,38749,46198,76053,20279,26250,30843,44480,70306,CA-29
26851,32934,42362,65471,89756,31513,36753,48120,72290,100390,20801,30338,40260,57349,75909,CA-07
26902,35830,46344,61686,85485,34840,41036,54028,72237,100023,20323,29851,36947,51321,76219,CA-39
28686,31173,40867,61214,77304,31800,35358,50498,70612,97156,22553,26183,31978,52110,66010,CA-50
26850,35909,40149,63767,90685,34776,43245,52641,71391,106346,16910,25544,28936,51107,73794,CA-23
23361,31564,35138,47940,65563,29320,35993,41767,59173,69632,17139,25850,30730,40842,59794,CA-51
28268,32357,34060,51624,66770,36096,38209,45158,61446,66523,20435,24328,28794,45894,66883,CA-01
23106,29345,32085,43043,74458,26855,31613,36011,46086,80059,17410,25273,30427,41845,63821,CA-40
27606,40302,51465,75296,98395,29328,42631,61215,89005,115540,24016,31475,38503,60738,80062,CA-45
22414,32411,38265,60361,78179,29080,38634,41831,67526,86996,16951,27086,33413,49144,71517,CA-22
30723,36089,42261,61620,88095,36105,41008,50061,76990,107281,19706,30234,36170,51798,79810,CA-09
23381,32447,38101,62046,82422,25997,40532,45568,72511,96576,20319,27666,31896,54572,76832,CA-27
31031,38197,50645,81505,123594,32203,44244,54877,93294,150315,28852,29509,45402,71891,100806,CA-14
25779,34478,40710,62186,86337,31260,41807,48293,78635,117799,18312,25567,34502,51783,70492,CA-02
31582,32185,43883,62145,75335,38512,36820,50421,71916,90705,21789,29127,35438,52106,65805,CO-01
25423,32665,34859,47194,56193,27069,40120,43697,52960,68844,16750,25190,26374,40016,50466,CO-03
32410,36957,41750,61578,74904,41302,42113,52324,77470,105167,21606,26335,31666,48523,60597,CO-04
30782,35262,42902,56881,72484,37180,43024,52492,71927,100050,17106,25829,33726,44041,61217,CO-02
32373,36897,44665,63302,72804,45296,41875,50402,79743,90366,21592,30213,37219,50866,61199,CO-06
30883,31768,44248,75222,101956,36028,31954,47906,81168,112480,22967,31600,42343,70263,94472,DC-98
25709,37740,42460,60264,76764,30649,42114,49229,71682,85721,21844,30791,38682,49002,72331,CT-03
24496,33407,41674,76708,101989,26936,41746,54153,100369,140894,21353,23858,32262,57658,82000,CT-04
27769,39864,42219,60378,81556,32258,47040,52530,70595,101762,24157,30852,35018,49317,69771,CT-02
25875,27938,31543,42126,55677,29886,35381,34266,47441,63969,15946,20647,29667,40544,50577,FL-17
27851,30359,32256,43825,52176,30529,34492,37911,50306,75114,18215,25440,30530,40857,47473,FL-06
23788,29861,31496,42415,50194,29704,31742,35950,45943,50784,19605,26018,28483,41347,50004,FL-05
21915,25679,30963,41038,57213,26448,28200,34440,44616,60136,18824,21105,29326,38425,56577,FL-24
21284,29349,30818,40190,51802,22078,32365,36103,41978,49879,14923,24034,27553,36426,52824,FL-11
23243,33179,38231,48434,75915,30844,35674,42789,57138,100561,15453,30513,34962,43432,57575,FL-23
21469,28470,33943,49553,70521,21849,31562,40063,58644,91387,21083,24722,31121,41994,51199,FL-08
26294,30254,37015,50486,63529,31494,33174,46449,67825,77003,17646,25447,31248,41785,55194,FL-18
21898,30231,31435,41380,60551,25634,31974,34223,45744,79196,18509,26967,29628,38984,53928,FL-20
