IncomeInThePast12MonthsBelowPovertyLevel_Married_coupleFamily_LessThanHighSchoolGraduate,IncomeInThePast12MonthsBelowPovertyLevel_Married_coupleFamily_HighSchoolGraduate_includesEquivalency_,IncomeInThePast12MonthsBelowPovertyLevel_Married_coupleFamily_SomeCollege_AssociatesDegree,IncomeInThePast12MonthsBelowPovertyLevel_Married_coupleFamily_BachelorsDegreeOrHigher,IncomeInThePast12MonthsBelowPovertyLevel_OtherFamilies_MaleHouseholder_NoSpousePresent_LessThanHighSchoolGraduate,IncomeInThePast12MonthsBelowPovertyLevel_OtherFamilies_MaleHouseholder_NoSpousePresent_HighSchoolGraduate_includesEquivalency_,IncomeInThePast12MonthsBelowPovertyLevel_OtherFamilies_MaleHouseholder_NoSpousePresent_SomeCollege_AssociatesDegree,IncomeInThePast12MonthsBelowPovertyLevel_OtherFamilies_MaleHouseholder_NoSpousePresent_BachelorsDegreeOrHigher,IncomeInThePast12MonthsBelowPovertyLevel_OtherFamilies_FemaleHouseholder_NoSpousePresent_LessThanHighSchoolGraduate,IncomeInThePast12MonthsBelowPovertyLevel_OtherFamilies_FemaleHouseholder_NoSpousePresent_HighSchoolGraduate_includesEquivalency_,IncomeInThePast12MonthsBelowPovertyLevel_OtherFamilies_FemaleHouseholder_NoSpousePresent_SomeCollege_AssociatesDegree,IncomeInThePast12MonthsBelowPovertyLevel_OtherFamilies_FemaleHouseholder_NoSpousePresent_BachelorsDegreeOrHigher,IncomeInThePast12MonthsAtOrAbovePovertyLevel_Married_coupleFamily_LessThanHighSchoolGraduate,IncomeInThePast12MonthsAtOrAbovePovertyLevel_Married_coupleFamily_HighSchoolGraduate_includesEquivalency_,IncomeInThePast12MonthsAtOrAbovePovertyLevel_Married_coupleFamily_SomeCollege_AssociatesDegree,IncomeInThePast12MonthsAtOrAbovePovertyLevel_Married_coupleFamily_BachelorsDegreeOrHigher,IncomeInThePast12MonthsAtOrAbovePovertyLevel_OtherFamilies_MaleHouseholder_NoSpousePresent_LessThanHighSchoolGraduate,IncomeInThePast12MonthsAtOrAbovePovertyLevel_OtherFamilies_MaleHouseholder_NoSpousePresent_HighSchoolGraduate_includesEquivalency_,IncomeInThePast12MonthsAtOrAbovePovertyLevel_OtherFamilies_MaleHouseholder_NoSpousePresent_SomeCollege_AssociatesDegree,IncomeInThePast12MonthsAtOrAbovePovertyLevel_OtherFamilies_MaleHouseholder_NoSpousePresent_BachelorsDegreeOrHigher,IncomeInThePast12MonthsAtOrAbovePovertyLevel_OtherFamilies_FemaleHouseholder_NoSpousePresent_LessThanHighSchoolGraduate,IncomeInThePast12MonthsAtOrAbovePovertyLevel_OtherFamilies_FemaleHouseholder_NoSpousePresent_HighSchoolGraduate_includesEquivalency_,IncomeInThePast12MonthsAtOrAbovePovertyLevel_OtherFamilies_FemaleHouseholder_NoSpousePresent_SomeCollege_AssociatesDegree,IncomeInThePast12MonthsAtOrAbovePovertyLevel_OtherFamilies_FemaleHouseholder_NoSpousePresent_BachelorsDegreeOrHigher,stateId
1417,1120,2018,856,703,745,292,401,1321,1654,2733,545,11909,22164,43769,43474,1364,4818,5413,2035,1970,3659,13652,7456,CA-03
9592,2607,1637,186,1471,998,411,0,6412,3196,3407,506,30657,18805,24172,12978,2993,4590,3561,618,7088,5755,8856,2758,CA-21
942,1070,895,1924,128,59,403,46,843,808,770,1049,9583,13757,35634,67799,1032,2033,4955,4383,2118,5179,6755,9387,CA-48
1431,1709,1512,301,919,1138,1150,56,2405,2957,2070,245,19756,30021,45746,27396,2951,4395,5600,2352,3276,7684,12038,3624,CA-10
4163,2345,1018,1688,2410,842,436,324,5644,3224,1552,668,22372,14345,12364,26351,6182,2836,4401,3123,9048,6081,6393,4606,CA-34
718,1030,548,1786,152,165,344,269,163,412,1075,1063,2886,6510,29433,102691,692,771,3498,6473,1213,1036,5709,10629,CA-52
1327,1573,548,1618,586,190,371,69,673,1578,989,731,8661,14488,32516,69904,723,3316,4791,4987,3882,5132,8514,10115,CA-30
445,104,311,1209,31,0,255,61,125,465,489,766,4070,9816,20354,117934,1106,1219,3198,5097,1371,2462,5935,10702,CA-18
2401,783,1399,473,37,526,1025,150,3860,1221,2029,399,20612,15195,31995,41304,3845,2169,3085,1998,5769,5112,9111,5979,CA-20
1601,1263,1273,1041,152,487,355,335,556,1923,1838,387,10541,26248,56885,47863,1065,3092,4685,3647,2950,4674,9733,6512,CA-42
2162,1285,1878,919,95,403,544,79,1447,2142,1540,432,14704,21994,40169,43425,1975,3913,4649,3550,2828,4547,9114,7075,CA-25
2152,1441,995,1126,448,638,657,97,1685,1269,1634,678,17803,21472,26847,28150,3340,3922,5485,2728,6299,8333,9314,5510,CA-32
2469,2035,1314,1371,996,420,154,164,2997,2695,2895,693,17788,18907,22768,37053,4172,4734,5260,2994,6654,7404,12731,7684,CA-43
3713,1426,1806,667,813,619,409,258,3715,1392,2672,332,24572,21580,32755,23927,3754,4337,4569,1682,6200,7433,9567,5336,CA-35
2494,680,741,1488,190,351,355,248,1916,1755,2010,706,10347,10157,18203,69745,1518,2261,3775,3972,1650,4910,8924,9604,CA-13
5276,1434,1219,142,817,596,482,0,3852,1372,2908,848,30447,17860,21370,14489,4633,5137,4275,2411,8232,5416,11834,5714,CA-44
732,1191,686,858,0,143,86,66,548,456,869,1482,11281,12297,34896,84442,746,2332,3017,2494,3033,3303,6732,9060,CA-49
612,1208,1301,612,115,231,394,55,1312,1783,480,498,10943,18510,39162,53334,3009,3216,5931,2967,2744,5480,10603,6691,CA-05
3884,1813,1757,862,1139,196,655,93,4619,2072,2023,533,25020,17254,21224,22691,4792,5272,4849,3682,8089,7532,6849,5067,CA-29
1145,1397,1955,1376,543,624,323,227,811,1320,1508,398,6722,18500,47055,58407,1566,1712,5122,4498,3421,5971,12592,7906,CA-07
1048,1260,1014,1008,136,265,269,496,771,899,978,864,8959,16629,38905,72106,1153,2309,3760,4084,2192,4018,9648,8715,CA-39
2326,1940,1585,789,512,290,592,103,1404,2505,2511,246,8062,20879,45549,53263,2203,3998,5362,2345,2929,4507,9300,5598,CA-50
2689,1923,2210,378,476,1000,571,113,2435,3508,4913,1225,11474,24211,43285,35903,2991,3827,5310,1942,2278,6129,12796,3840,CA-23
5676,2559,1098,345,538,366,518,198,5607,1547,3004,754,20005,23671,25193,20260,2640,3278,5870,2118,7084,7263,11961,2310,CA-51
921,1455,2073,902,214,1040,767,226,843,2118,3949,287,7945,23125,52078,41466,2459,3945,4965,1968,1596,5100,9009,4042,CA-01
6858,1897,1240,463,2026,858,352,0,7741,3302,1951,272,29696,16203,16286,8629,7283,3711,3959,1690,12302,6470,10119,3771,CA-40
774,1247,1076,2783,318,97,647,508,884,117,1289,991,4103,10456,36700,101820,593,1475,5199,5071,1025,2239,6258,9667,CA-45
4509,2232,1634,598,1350,711,668,161,3567,1781,4403,317,14830,23627,44137,38784,2938,4330,6854,2680,2961,3846,13968,6027,CA-22
2529,2579,2312,873,154,463,751,37,2901,2387,1413,1366,16588,25988,39252,37196,3831,3917,3168,1147,3589,7773,10923,7031,CA-09
1740,1948,518,1263,193,117,329,355,638,913,1068,755,9464,16255,27232,66991,1466,3450,3195,4936,2562,5559,8497,10752,CA-27
800,337,825,851,166,93,64,201,818,243,812,395,8901,14147,26370,80465,1825,1825,4721,5293,4112,3555,6877,8204,CA-14
829,526,738,755,177,800,888,345,1078,782,1487,963,6544,14458,37517,70499,1677,2100,4675,2781,1663,3885,9055,7297,CA-02
934,1947,1337,1349,462,68,99,345,1224,1972,2188,852,9116,15406,23251,81510,2821,2785,4219,5193,2513,6336,7981,9825,CO-01
2092,1958,3368,923,89,1036,360,146,1383,2502,3143,520,8226,31482,50937,55291,1962,3517,3475,3405,996,5023,9423,4254,CO-03
1147,1447,1307,679,763,690,429,246,666,1588,2218,69,11010,30495,55012,84321,2074,4346,3773,3641,2833,5266,7451,7009,CO-04
1229,331,1369,1497,169,34,191,86,126,529,1466,768,3937,17017,39157,109132,501,1999,3356,5161,211,3072,4892,7000,CO-02
632,357,1217,910,345,321,303,193,872,1337,2085,310,9414,17966,43448,84848,865,2999,4842,5021,2688,4495,10022,11538,CO-06
113,108,446,330,474,342,0,164,1763,4014,2772,510,2786,5984,8035,60529,1032,1403,1472,3629,2795,7493,9536,9248,DC-98
1067,842,901,936,114,401,199,45,1596,3575,2163,775,7448,26516,24924,55396,1757,3891,2768,2437,2575,11764,8452,9453,CT-03
801,588,671,921,652,397,531,341,2505,3205,1837,963,7110,16327,22039,90244,1843,4116,2862,3102,2216,6231,6143,7838,CT-04
197,926,1073,766,400,198,155,0,1029,1316,1197,810,4204,32957,36453,65155,636,3688,4808,2424,1758,7645,8766,5409,CT-02
2551,2138,2061,960,85,885,461,0,1291,4179,1700,403,9302,42194,47788,51009,1375,2975,3065,2275,2337,8771,9964,4258,FL-17
1008,2322,1656,1735,592,1849,495,258,851,2959,3353,830,8923,38296,49612,47235,1732,4429,4053,2709,1512,9159,8806,5860,FL-06
931,2860,1529,788,272,1537,946,149,4562,5159,5371,541,8138,20923,29842,21204,2591,4996,5066,2750,3396,10827,14961,8914,FL-05
2504,2149,1703,1735,964,1562,225,61,3403,3736,3382,977,13469,28370,20682,21677,3160,7185,6360,2926,5366,11990,15515,8404,FL-24
1271,3090,2206,1458,327,469,577,127,2072,3065,1999,579,10829,44820,66425,54227,1250,3109,4616,1746,2423,8193,7904,4247,FL-11
1064,1788,1670,2776,125,107,225,126,650,1353,2163,1274,6574,22083,31855,62518,1841,4118,5143,4748,1891,8251,10755,11076,FL-23
460,2061,1199,1408,579,201,99,0,740,2339,1000,630,4996,29075,49348,58065,983,2211,3390,2023,2649,4181,10613,5395,FL-08
948,2158,1133,938,146,516,203,382,802,1287,1488,367,9048,27560,44150,62360,1447,4203,2943,3074,3711,7175,11262,6307,FL-18
2943,2867,1201,974,987,1189,319,286,2735,4472,5133,626,8312,24378,23795,28029,3247,6093,5197,3752,5668,14845,14330,8404,FL-20
3901,2229,1899,2699,805,696,623,40,2688,2674,2017,1572,21111,27384,28461,42586,4036,5578,4456,3996,6601,7418,8841,7972,FL-25
1158,2350,1592,1215,464,511,681,110,1139,3953,3265,341,5393,23636,40804,51981,1679,3722,3967,2687,1073,8082,11012,7392,FL-03
1055,1184,1862,1896,702,422,218,97,2484,3426,3114,505,8962,24790,32526,52561,2165,3544,4531,1824,4103,7204,9816,8976,FL-10
895,1510,1193,1503,909,202,225,0,956,2471,1027,1068,4539,25573,44930,84399,583,2421,3893,3493,1617,6713,10273,8729,FL-04
539,971,986,884,296,417,154,310,957,2083,1392,390,6322,21244,35092,53367,1805,2563,3347,1933,1918,7582,7647,6735,FL-13
1993,2184,1554,969,354,313,735,385,4050,3331,2514,968,13647,28656,31041,39018,2138,6613,4622,3084,5165,9294,9218,8924,FL-26
1640,1455,1557,1449,693,307,344,191,1186,1132,2649,1380,5175,21611,29949,68094,1619,3394,2976,2713,2594,6554,10576,7432,FL-22
1709,2019,2090,2073,947,1111,308,0,1863,3662,2643,797,11081,30138,44568,48463,1868,4384,5198,3307,2680,9525,15631,8839,FL-09
380,1663,2099,1769,280,264,144,479,1714,2385,2077,528,8036,34092,48691,72858,1701,4287,3795,2491,934,4622,8030,5422,FL-19
690,1545,1363,894,489,846,625,148,1424,3409,3152,612,4940,27331,53386,48423,1119,2138,3972,2351,3181,6832,11459,7455,FL-01
855,1212,1814,1726,188,884,1103,83,1333,2982,2409,838,3605,23384,34317,71636,867,3482,4504,4316,2133,6506,11494,10721,FL-07
3466,1366,1039,2593,353,633,496,60,1655,2520,2648,2169,8806,19105,24081,60468,2954,3166,3307,4964,4956,7757,9694,11586,FL-27
1472,1966,1830,900,318,698,29,116,1779,4039,3548,258,8976,31826,44274,49081,2636,2805,3521,2661,2567,9313,11493,6460,GA-03
1193,1785,624,483,350,566,270,109,2058,4371,4418,449,7648,31276,39402,54990,1122,4149,2500,2471,2934,9554,8985,6986,GA-10
1836,2096,1069,647,561,1226,242,0,2357,1899,2378,483,9604,22295,32997,40712,2164,3247,4275,2653,3070,8309,20100,12686,GA-04
1029,901,666,685,152,1014,432,215,3618,6579,4547,1712,4360,10273,15656,53674,2311,4239,3251,4454,2820,8309,12050,13546,GA-05
1524,2900,1335,741,1384,131,915,143,3320,2700,2615,256,13805,37306,46682,50789,2770,3245,2608,831,3462,5101,10331,4391,GA-09
2815,1611,2579,1383,147,287,827,78,1009,1373,556,766,9419,19777,36431,91764,1398,2890,5444,4218,1717,4727,9067,11754,GA-07
624,360,960,1352,427,394,60,377,855,716,435,1241,3646,9891,22340,118331,1319,1311,1633,4909,1105,2042,5987,9418,GA-06
867,2137,2232,1015,34,601,101,16,3035,4007,5273,366,6589,30735,41137,42249,1543,4254,4593,1787,2711,7627,12118,7278,GA-01
1454,1355,1686,1946,270,115,0,316,1099,1482,2387,660,8417,21463,38263,77127,2356,3491,3008,3824,2990,4643,10865,7759,GA-11
2264,4032,1789,313,1442,439,624,60,2412,5696,3389,614,8679,28428,38597,35773,1097,4254,4410,1429,4504,10677,7403,6164,GA-08
1646,2894,4146,1319,377,468,844,239,640,1626,3162,405,9564,31126,55549,60193,1334,3893,3673,1750,1959,6274,8630,4932,ID-02
874,1346,990,453,55,242,98,0,616,1286,1065,426,4052,18635,37910,52743,466,4380,4495,4019,2165,6422,9876,8392,HI-01
1439,1307,962,438,250,630,553,304,2647,3983,5214,1216,5904,16012,30227,41540,1141,4389,4322,2730,2835,8749,14849,10561,IL-01
1363,1562,376,453,1235,1520,967,67,3916,4330,3507,1171,7061,9636,14266,55098,1861,2859,1721,2764,3226,9512,12459,7631,IL-07
1063,1718,1630,551,884,623,270,0,1610,5192,4797,835,5727,20760,27287,24117,1986,4399,5073,2348,2863,11281,19504,11033,IL-02
501,1360,597,1120,219,346,129,282,712,1863,1233,156,5814,16991,23357,78048,787,2333,3758,3103,2149,4299,5128,9154,IL-05
1129,1475,1221,835,688,956,254,695,1224,3556,3754,1153,4050,24585,34857,44628,1184,3392,2759,2048,1025,6363,8804,5846,IL-13
962,621,559,911,92,132,0,143,326,482,980,641,3347,20436,36098,97991,598,1943,2463,3154,1584,2393,5513,9012,IL-06
793,1368,946,724,562,0,184,127,1484,1094,1741,399,9783,18205,29892,78924,1691,3457,2244,3615,2885,4177,8437,7399,IL-10
2231,2330,853,618,379,486,852,0,3071,2801,1633,302,21096,22566,17105,27011,3753,6530,4576,2491,5408,6881,6736,5992,IL-04
1640,805,921,2241,191,65,0,310,747,517,1374,547,6386,14910,20865,89382,937,1584,2524,3958,1014,3451,5031,9085,IL-09
901,1895,1552,184,500,851,1543,86,1926,3161,4107,864,5687,26217,45727,40041,674,5024,4978,2037,1940,5639,12176,6450,IL-12
1424,1254,907,1622,318,1120,102,0,828,1374,2624,672,10920,24173,37259,52452,1717,3760,2858,3451,3173,6016,9747,6363,IL-08
858,1625,1145,701,39,555,559,0,1369,2585,2277,422,6490,38795,44156,47666,1126,5296,4633,1857,1289,7553,9519,5269,IN-09
1114,2390,1519,300,326,858,708,32,1411,3901,2965,468,7420,42066,46245,38685,1065,4672,4021,1223,2318,8595,6524,4423,IN-08
