Income_in_the_past_12_months_below_poverty_level_Male_Less_than_high_school_graduate,Income_in_the_past_12_months_below_poverty_level_Male_High_school_graduate__includes_equivalency_,Income_in_the_past_12_months_below_poverty_level_Male_Some_college__associate's_degree,Income_in_the_past_12_months_below_poverty_level_Male_Bachelor's_degree_or_higher,Income_in_the_past_12_months_below_poverty_level_Female_Less_than_high_school_graduate,Income_in_the_past_12_months_below_poverty_level_Female_High_school_graduate__includes_equivalency_,Income_in_the_past_12_months_below_poverty_level_Female_Some_college__associate's_degree,Income_in_the_past_12_months_below_poverty_level_Female_Bachelor's_degree_or_higher,Income_in_the_past_12_months_at_or_above_poverty_level_Male_Less_than_high_school_graduate,Income_in_the_past_12_months_at_or_above_poverty_level_Male_High_school_graduate__includes_equivalency_,Income_in_the_past_12_months_at_or_above_poverty_level_Male_Some_college__associate's_degree,Income_in_the_past_12_months_at_or_above_poverty_level_Male_Bachelor's_degree_or_higher,Income_in_the_past_12_months_at_or_above_poverty_level_Female_Less_than_high_school_graduate,Income_in_the_past_12_months_at_or_above_poverty_level_Female_High_school_graduate__includes_equivalency_,Income_in_the_past_12_months_at_or_above_poverty_level_Female_Some_college__associate's_degree,Income_in_the_past_12_months_at_or_above_poverty_level_Female_Bachelor's_degree_or_higher,stateId
5210,6545,6518,2570,5330,7175,11328,3545,28869,55240,69617,58415,22488,46456,81785,68755,CA-03
18904,6794,2649,578,22239,10084,9217,1436,59838,48560,44433,17785,47643,37761,44217,24545,CA-21
2605,3399,3596,3651,5242,5762,4828,6118,22441,33769,71214,110997,23278,39876,71758,111406,CA-48
6775,7253,5143,1217,9731,10627,6614,1472,37395,66117,69846,38120,33929,59648,83061,47382,CA-10
14657,11446,9271,7873,22308,12760,8440,9299,56835,40950,41943,67209,55688,38512,37851,71222,CA-34
2020,3427,3803,7061,3611,4383,6146,8021,9933,21996,57508,159608,9121,22755,61981,153780,CA-52
4835,3600,4738,6726,5668,6090,7990,5608,20706,40764,70806,117378,25864,41940,70916,122963,CA-30
1366,2701,2457,3862,2249,2798,3710,6643,9726,24261,41706,168645,11162,26078,49842,166876,CA-18
6834,4218,5374,2081,10636,4227,7146,3505,50814,41799,54441,62233,40954,37833,59670,72637,CA-20
3993,6314,3429,3017,3696,6290,9190,2590,24819,65225,89453,68233,27708,61510,95233,70975,CA-42
4975,5657,3549,2675,7283,6409,7859,2656,29913,50195,69678,59062,26576,47551,72683,67818,CA-25
7236,5886,4482,2527,9707,8197,7458,3389,45260,60068,60250,46553,43872,58910,62938,55580,CA-32
8639,8983,3898,4895,11320,9372,9740,3414,47282,49198,57139,65501,42351,45110,62498,76627,CA-43
8845,5665,4762,1770,11636,7158,6556,2534,54139,58428,60989,39148,51404,51849,67011,44625,CA-35
6265,4869,5274,7193,7969,7085,8074,8014,24902,35537,47937,133778,23378,33883,48517,147874,CA-13
