26_to_64_years_Less_than_high_school_graduate_With_health_insurance_coverage,26_to_64_years_Less_than_high_school_graduate_With_health_insurance_coverage_With_private_health_insurance,26_to_64_years_Less_than_high_school_graduate_With_health_insurance_coverage_With_public_coverage,26_to_64_years_Less_than_high_school_graduate_No_health_insurance_coverage,26_to_64_years_High_school_graduate__includes_equivalency__With_health_insurance_coverage,26_to_64_years_High_school_graduate__includes_equivalency__With_health_insurance_coverage_With_private_health_insurance,26_to_64_years_High_school_graduate__includes_equivalency__With_health_insurance_coverage_With_public_coverage,26_to_64_years_High_school_graduate__includes_equivalency__No_health_insurance_coverage,26_to_64_years_Some_college_or_associate's_degree_With_health_insurance_coverage,26_to_64_years_Some_college_or_associate's_degree_With_health_insurance_coverage_With_private_health_insurance,26_to_64_years_Some_college_or_associate's_degree_With_health_insurance_coverage_With_public_coverage,26_to_64_years_Some_college_or_associate's_degree_No_health_insurance_coverage,26_to_64_years_Bachelor's_degree_or_higher_With_health_insurance_coverage,26_to_64_years_Bachelor's_degree_or_higher_With_health_insurance_coverage_With_private_health_insurance,26_to_64_years_Bachelor's_degree_or_higher_With_health_insurance_coverage_With_public_coverage,26_to_64_years_Bachelor's_degree_or_higher_No_health_insurance_coverage,65_years_and_over_Less_than_high_school_graduate_With_health_insurance_coverage,65_years_and_over_Less_than_high_school_graduate_With_health_insurance_coverage_With_private_health_insurance,65_years_and_over_Less_than_high_school_graduate_With_health_insurance_coverage_With_public_coverage,65_years_and_over_Less_than_high_school_graduate_No_health_insurance_coverage,65_years_and_over_High_school_graduate__includes_equivalency__With_health_insurance_coverage,65_years_and_over_High_school_graduate__includes_equivalency__With_health_insurance_coverage_With_private_health_insurance,65_years_and_over_High_school_graduate__includes_equivalency__With_health_insurance_coverage_With_public_coverage,65_years_and_over_High_school_graduate__includes_equivalency__No_health_insurance_coverage,65_years_and_over_Some_college_or_associate's_degree_With_health_insurance_coverage,65_years_and_over_Some_college_or_associate's_degree_With_health_insurance_coverage_With_private_health_insurance,65_years_and_over_Some_college_or_associate's_degree_With_health_insurance_coverage_With_public_coverage,65_years_and_over_Some_college_or_associate's_degree_No_health_insurance_coverage,65_years_and_over_Bachelor's_degree_or_higher_With_health_insurance_coverage,65_years_and_over_Bachelor's_degree_or_higher_With_health_insurance_coverage_With_private_health_insurance,65_years_and_over_Bachelor's_degree_or_higher_With_health_insurance_coverage_With_public_coverage,65_years_and_over_Bachelor's_degree_or_higher_No_health_insurance_coverage,stateId
37033,16904,21328,8332,77377,53982,27451,7828,117700,90798,31721,6644,93664,85243,11374,3622,15800,5748,15011,142,26152,15312,25673,0,36468,24037,35260,0,31212,22926,29313,115,CA-03
89163,34593,58197,29171,73634,37427,39190,11718,69198,49463,22783,8396,33166,29361,5320,2214,28579,5367,27648,1090,12915,5420,12379,287,15757,8875,15283,0,6744,4767,6282,124,CA-21
29351,14887,15356,9408,52416,41090,12840,7513,97376,83912,16406,9461,168716,159135,12355,5892,14039,2647,13483,50,19989,9564,19063,189,41335,20735,40137,0,52497,29223,49803,232,CA-48
52713,26242,27615,10767,103067,69490,37287,11442,119677,97510,27610,8420,65460,61096,5685,3217,23909,8733,23271,0,24624,13508,24260,0,30565,18798,30135,336,17278,10164,16615,0,CA-10
63259,26043,38592,45958,63269,32844,31752,19271,65095,46091,20875,13553,116636,101208,17995,14299,37163,4524,36142,1360,18195,2623,17837,813,13916,4651,13355,429,17726,6532,16549,430,CA-34
13161,7525,6598,2846,31979,25189,8465,3997,82084,67412,19859,7928,248986,238087,18066,8603,8283,2239,8001,64,13827,6981,13244,114,30800,17643,29516,43,57481,33827,53746,362,CA-52
33071,16265,17649,8585,59552,42175,19247,9723,102481,83422,21746,11256,187789,174005,18550,10372,13900,3523,13689,350,20608,8304,20255,276,36334,20436,34686,209,49483,29009,46553,89,CA-30
15600,10285,6216,3464,33864,26589,8692,6305,64047,56189,10961,5271,261674,253405,10485,5733,5243,2615,4435,196,14409,7303,13260,206,25916,15758,24764,182,71058,45350,64916,314,CA-18
60348,38073,24273,28902,58646,42059,18917,9610,84839,66301,21976,7259,94385,88551,8414,3436,19143,7067,18049,255,16444,8248,15942,99,31018,19182,29704,23,39890,28035,37785,0,CA-20
36288,23629,14120,6326,89439,70003,22443,17733,145187,122417,30030,12558,111513,104429,11680,5460,16548,3682,16204,279,29016,11453,27515,242,32939,17023,31587,0,23845,12359,22731,155,CA-42
43245,27428,18292,8811,75794,57823,21687,8738,115200,99729,20897,6625,102662,96309,9785,3262,16473,5880,15701,49,23202,10894,22220,103,27401,15011,26241,102,23385,14611,21410,30,CA-25
52636,27301,27277,15778,88684,62444,28664,17850,92281,71712,23412,12714,80203,71928,9780,4440,35866,5148,35131,989,23904,7068,23029,72,25195,10547,24087,199,20915,9617,19455,81,CA-32
63384,33291,32770,20921,70718,45347,27529,17297,96289,70679,29932,9399,112923,101946,13688,9711,22866,4041,22077,1372,21423,7672,20611,488,23365,12732,22153,199,22480,13308,20690,192,CA-43
69887,38469,32852,26713,89496,62730,30205,13699,103253,80109,26921,11572,68205,61571,8188,4321,26776,4948,26121,1848,16732,5637,16161,33,19485,7859,18324,194,12469,5756,11447,0,CA-35
36380,19282,18517,7386,54453,38140,18061,6432,77239,58759,20713,6024,231559,213153,23483,6257,17966,4725,17316,441,17374,7874,16693,585,23972,13946,22402,202,50873,33861,47158,164,CA-13
83647,38694,46463,33585,74958,48951,27693,18423,84596,59306,28487,10982,48530,41916,7850,4153,36533,4826,35149,497,16583,4992,16055,131,16559,7069,15582,185,11629,6425,10227,321,CA-44
24355,13920,11605,13292,38190,31348,8986,11970,88933,75347,16832,8811,170493,162645,12997,5022,10998,2951,10998,382,17647,9756,17084,191,34102,21110,33382,515,54337,32255,51481,137,CA-49
37905,24601,14949,8595,71078,55854,18632,11453,115812,99923,22533,7111,117048,109654,10357,2471,11950,4756,11162,361,25042,15063,24249,196,46504,30626,44567,246,50695,34842,48342,16,CA-05
75322,33219,43646,28008,74065,45239,30555,18801,84399,58518,28164,13481,79764,65790,15719,7855,31378,5318,30573,596,15310,3995,14496,207,16814,6599,16339,170,15678,7678,13917,149,CA-29
27809,14461,14894,4878,71349,48763,26971,7521,135493,107153,35321,10535,134242,124140,13783,4002,13140,4144,12747,45,26173,17163,24947,234,40925,29479,38698,116,38134,26843,36878,0,CA-07
26757,16083,11625,6622,57438,44490,14953,9283,98914,86455,15992,9721,156265,145195,13085,10319,16444,5326,15207,421,22163,8088,20608,166,32613,15359,31016,110,45180,20371,41169,415,CA-39
34335,21081,14765,11846,69187,49615,23268,12465,116088,97567,26502,11450,111423,103294,12351,5167,13906,3130,13458,206,26423,14225,25501,386,41387,22287,39474,122,35806,21177,33717,42,CA-50
39241,20063,21283,10961,81413,57287,29434,11328,123653,90256,39825,7870,77988,71514,8566,1946,16557,4891,16183,75,26646,12996,25757,192,33910,20728,32272,146,23741,15847,22787,0,CA-23
61396,28039,35624,22646,77825,52468,29426,18225,95210,68651,31808,14293,52521,43014,11538,6321,35146,6060,33861,1454,21175,11039,20414,319,20450,10784,19576,0,12397,6095,11659,129,CA-51
25041,11752,14663,5075,73309,47712,29602,8224,119687,85019,42495,12788,82059,71837,13137,3716,12427,5921,12363,0,36163,22485,35136,76,58890,37725,57891,272,40958,28589,40004,228,CA-01
97377,37019,61388,47789,68292,39815,30008,22002,69319,48861,21967,10272,32688,27706,5272,3795,36656,4424,35162,1546,11917,3422,11052,314,10206,4207,8981,121,4456,2792,3667,0,CA-40
15654,11170,6049,4415,37486,30032,9105,5729,97614,88447,12214,7507,234719,226153,12600,10999,8200,2327,8045,269,18586,8506,17613,0,36410,19376,34796,0,58963,32695,56218,381,CA-45
46067,19680,29085,13811,75200,49961,28119,6812,124143,90575,41819,10445,86053,78014,10740,2566,19207,4645,18843,689,19031,11599,18532,141,30857,18248,29763,0,26013,17805,24291,0,CA-22
54256,25342,31078,13074,100063,64897,38447,9212,108937,85921,27678,7985,82098,73242,12553,4149,22651,7024,21411,550,26232,15513,25108,127,32061,22129,31161,146,25713,16616,23619,130,CA-09
30314,15980,14980,8505,60512,39282,22189,9463,79066,65878,15642,9766,177529,165515,14187,9056,25823,3492,25329,1245,21404,6658,20403,218,27904,15386,26041,0,46885,24931,43334,56,CA-27
30893,21525,10459,6097,56362,42835,15004,6942,83380,73770,12312,4999,212272,205356,9254,4259,21059,8303,20312,0,22086,12820,21153,184,35462,24048,33675,201,45978,32309,41855,338,CA-14
25501,13310,13277,7677,50525,35937,17045,7150,98346,75835,27819,8091,139741,131408,12455,5566,10546,4770,10306,233,24572,13850,24145,48,48710,27677,47487,71,71433,45342,68118,110,CA-02
24271,11945,12917,12951,67339,46920,22208,13809,97073,78673,22391,12119,255808,243648,16318,11065,11367,2826,11255,1134,21482,8667,20938,241,24849,12230,24153,32,45937,27931,43237,176,CO-01
21767,11370,11565,10066,79667,53680,30123,16924,104048,79616,28803,17152,114151,105051,12586,8734,11575,4796,11523,217,35111,18321,34328,19,49074,28479,47284,3,49373,29633,47899,85,CO-03
