Under_6_years_With_health_insurance_coverage,Under_6_years_No_health_insurance_coverage,6_to_18_years_With_health_insurance_coverage,6_to_18_years_No_health_insurance_coverage,19_to_25_years_With_health_insurance_coverage,19_to_25_years_No_health_insurance_coverage,26_to_34_years_With_health_insurance_coverage,26_to_34_years_No_health_insurance_coverage,35_to_44_years_With_health_insurance_coverage,35_to_44_years_No_health_insurance_coverage,45_to_54_years_With_health_insurance_coverage,45_to_54_years_No_health_insurance_coverage,55_to_64_years_With_health_insurance_coverage,55_to_64_years_No_health_insurance_coverage,65_to_74_years_With_health_insurance_coverage,65_to_74_years_No_health_insurance_coverage,75_years_and_over_With_health_insurance_coverage,75_years_and_over_No_health_insurance_coverage,stateId
2637,40,4275,136,979,396,667,478,682,147,516,34,488,84,681,0,537,0,AL-02
1557,17,4288,72,774,394,424,152,1096,72,1271,55,786,63,559,0,633,0,AL-04
3062,0,5748,37,1214,139,1679,513,1666,450,821,282,1448,107,815,167,1065,0,AL-05
1573,82,3627,0,835,617,762,625,1510,256,492,0,933,13,418,0,34,0,AL-06
820,48,2267,0,1405,0,710,246,386,101,577,144,278,43,756,0,288,0,AL-07
9138,2105,14771,2080,5880,2079,4635,1626,4631,1092,2933,853,2455,530,1185,98,584,0,AK-00
3875,114,8393,1260,3793,817,2035,326,1755,347,1766,468,1678,143,854,0,380,0,AZ-01
4923,114,7850,683,4795,432,3396,790,3612,331,2035,232,2252,136,1189,0,847,0,AZ-02
5202,90,10361,475,5529,967,2690,761,2484,859,2468,550,1998,850,1510,112,822,0,AZ-03
4346,632,6526,751,2356,8,1760,525,2436,105,960,103,1430,130,1893,0,1047,0,AZ-04
4578,89,15256,621,1520,165,3799,391,2651,193,1640,94,626,194,872,0,73,0,AZ-05
4357,166,7912,629,2431,645,3908,432,2052,618,2766,624,1789,256,734,0,708,0,AZ-06
4058,129,6420,1277,2666,579,3413,1039,2690,786,1689,325,1781,38,803,0,628,0,AZ-07
3490,236,8388,623,2429,439,3525,623,2179,365,1648,0,2050,0,1257,0,730,0,AZ-08
6522,264,7805,519,3109,426,4309,766,2900,252,1700,183,1830,0,379,0,251,0,AZ-09
3352,253,5796,352,1453,210,1413,99,1021,141,1710,290,2918,38,1397,243,1117,0,AR-01
3812,0,7742,28,1554,629,1321,257,1060,53,944,0,594,0,652,0,183,0,AR-02
3936,156,9747,202,1323,1172,3376,1036,2045,616,2195,98,1009,206,1278,41,605,0,AR-03
2305,0,3938,210,1586,56,579,5,1176,46,473,39,1000,168,756,0,506,0,AR-04
4385,0,10862,190,3545,255,3620,1444,3466,463,2938,493,3168,227,2104,0,737,0,CA-01
4725,459,9158,579,4292,127,2688,476,2900,400,3644,28,3592,31,1726,0,1051,0,CA-02
9165,267,14644,294,4068,316,6029,150,4486,339,3000,90,3486,68,2121,0,796,0,CA-03
3907,95,10122,568,2879,624,2940,749,3143,114,3244,0,3292,83,2077,0,462,0,CA-04
4899,604,8974,1090,3375,180,5008,387,4402,464,4681,0,2965,230,1785,0,1359,0,CA-05
11811,557,20658,996,5971,943,9359,302,8561,105,3912,60,2437,0,2175,0,558,0,CA-06
7385,0,18070,289,5344,169,8820,749,6042,760,3893,115,3782,147,1018,0,494,0,CA-07
6797,165,11414,348,3138,705,4133,270,2535,69,3050,176,2450,278,1675,0,567,0,CA-08
7287,25,31284,900,7785,1016,7616,872,10150,2077,5210,1371,4835,482,3312,0,1571,0,CA-09
4600,72,10428,147,4763,1169,3836,754,4701,81,4280,0,2316,132,2060,0,795,0,CA-10
8093,75,15849,510,3302,152,5479,452,7077,251,3524,232,1692,0,1035,32,1133,0,CA-11
7759,0,10586,74,4055,271,9058,362,5646,201,4105,136,1798,91,1432,0,515,0,CA-12
8393,131,11358,209,4530,396,8508,458,6406,607,3651,136,2150,156,2262,0,510,179,CA-13
6052,0,12854,633,2757,60,5675,245,3231,296,2930,85,2556,99,946,0,727,0,CA-14
7402,136,14430,520,5004,271,5206,435,7073,286,4005,0,3762,177,2033,0,580,112,CA-15
2946,73,5547,162,2760,677,2529,478,2326,58,1211,40,1172,139,1581,0,640,0,CA-16
5314,100,11012,64,5456,0,4019,180,3882,284,2451,68,2034,38,1323,47,114,50,CA-17
7431,99,12898,344,3737,89,4101,53,3839,82,3396,80,1313,0,1123,0,594,0,CA-18
5366,67,10189,0,5083,368,5503,576,4268,261,3843,221,2508,126,1560,56,406,0,CA-19
4411,0,9803,27,3387,69,3585,469,3554,275,1485,193,2702,321,1913,0,700,0,CA-20
3424,33,5119,203,1650,110,2277,457,1082,0,808,12,1279,0,924,0,301,0,CA-21
6191,184,12583,49,3050,41,3327,516,4395,73,2487,81,1609,0,966,0,622,0,CA-22
4886,95,10821,214,2803,700,3753,991,3672,310,2097,0,2631,0,1520,40,1114,0,CA-23
2960,0,6962,53,4910,147,2775,285,1933,44,1385,130,1559,117,674,0,1015,0,CA-24
4298,408,7630,321,3885,106,3952,346,1798,76,2087,179,1842,248,1078,0,304,0,CA-25
6266,0,9736,76,2817,80,4520,179,2362,0,2243,590,1695,234,1623,0,786,0,CA-26
4876,0,7989,0,3108,58,3682,947,3134,321,2814,105,1601,54,1483,0,1064,0,CA-27
4240,0,6625,39,3621,144,6105,974,4519,296,1820,82,2499,110,697,122,951,63,CA-28
2003,118,6177,187,2323,216,3702,756,2526,505,1585,543,1540,292,917,0,518,0,CA-29
4893,0,10156,399,5670,181,4916,359,3500,84,4127,377,2293,219,891,0,851,0,CA-30
6780,40,9488,161,3495,793,4205,675,4226,265,2945,249,2313,126,1437,0,424,0,CA-31
3484,65,8088,181,2485,344,3786,623,3258,359,2873,456,2968,128,2188,0,2126,0,CA-32
5467,120,11996,93,4005,0,5125,777,4140,192,3332,173,2462,49,1268,0,670,0,CA-33
3000,0,3128,106,2907,427,5193,1101,3954,282,2971,386,1633,254,1147,0,422,0,CA-34
4837,361,11762,360,3345,684,3499,892,5056,322,2196,99,1801,284,964,0,608,0,CA-35
3507,55,7059,0,3127,83,2876,722,2559,449,1665,0,2080,17,941,0,1068,0,CA-36
4167,0,5325,132,4137,213,4340,296,3377,167,2159,358,1872,119,1137,0,475,0,CA-37
3300,0,6783,150,3058,191,2317,332,2216,178,2503,235,1734,113,1426,0,1237,0,CA-38
4889,0,7647,51,3357,25,3572,383,2305,179,1873,133,1737,95,780,0,276,0,CA-39
