Under_6_years_With_health_insurance_coverage,Under_6_years_No_health_insurance_coverage,6_to_18_years_With_health_insurance_coverage,6_to_18_years_No_health_insurance_coverage,19_to_25_years_With_health_insurance_coverage,19_to_25_years_No_health_insurance_coverage,26_to_34_years_With_health_insurance_coverage,26_to_34_years_No_health_insurance_coverage,35_to_44_years_With_health_insurance_coverage,35_to_44_years_No_health_insurance_coverage,45_to_54_years_With_health_insurance_coverage,45_to_54_years_No_health_insurance_coverage,55_to_64_years_With_health_insurance_coverage,55_to_64_years_No_health_insurance_coverage,65_to_74_years_With_health_insurance_coverage,65_to_74_years_No_health_insurance_coverage,75_years_and_over_With_health_insurance_coverage,75_years_and_over_No_health_insurance_coverage,stateId
2739,0,5635,447,4520,743,5171,443,4697,171,5112,96,5167,0,3993,0,3065,0,CA-03
,,,,,,,,,,,,,,,,,,CA-21
,,,,,,,,,,,,,,,,,,CA-48
1903,0,5696,0,3739,83,2991,412,2244,97,2177,287,3944,0,1352,0,1054,0,CA-10
1034,0,2687,59,3331,236,6772,1298,5185,705,3277,610,3164,394,2271,0,1215,52,CA-34
1658,140,2713,35,2597,394,3907,247,1999,395,1940,96,2715,117,682,0,467,0,CA-52
1593,68,5125,55,3156,618,6169,832,3800,334,4554,502,4238,255,1500,89,907,294,CA-30
,,,,,,,,,,,,,,,,,,CA-18
,,,,,,,,,,,,,,,,,,CA-20
3268,145,8558,80,4489,0,7350,533,6454,424,6608,376,7124,399,3058,0,1982,0,CA-42
5050,0,17019,112,6460,446,7326,963,7499,457,9280,170,8542,334,4720,0,2193,0,CA-25
1329,302,2129,0,1483,218,2204,355,1835,149,1593,208,3049,0,1246,0,1466,0,CA-32
10196,613,19798,376,9158,1719,21137,2719,16666,2183,17451,1451,20879,917,12479,294,12364,0,CA-43
3481,202,5542,0,3434,143,5744,217,4890,558,4176,176,4784,153,3786,0,2257,0,CA-35
9476,0,19267,0,12498,243,18863,1127,15892,1277,15903,1251,15859,873,13090,164,8562,0,CA-13
6257,385,13961,914,8763,852,12499,2140,9613,911,11811,651,15254,789,10509,44,8086,141,CA-44
410,0,1426,530,1408,189,1384,64,1366,175,2473,0,2338,628,1011,0,579,0,CA-49
2083,95,7954,54,3130,877,7338,637,4850,675,6950,203,6274,70,4526,48,1800,0,CA-05
1275,0,3519,0,2330,707,3505,1284,4741,983,3174,131,2579,559,2289,191,1017,64,CA-29
4039,0,6386,65,4874,144,8034,1047,6231,0,7460,158,7035,55,3319,0,2975,0,CA-07
,,,,,,,,,,,,,,,,,,CA-39
1447,0,2998,104,2124,131,3774,585,1664,296,1880,45,2466,272,1224,0,692,0,CA-50
4517,72,10698,0,4234,530,6345,425,5520,186,4627,66,4747,126,2637,0,934,0,CA-23
3632,68,6897,0,3476,836,3871,1565,3445,1001,4078,554,4360,114,4486,0,2256,0,CA-51
,,,,,,,,,,,,,,,,,,CA-01
3250,35,6178,33,2613,735,5460,807,3886,337,3470,562,3914,116,3217,26,1525,0,CA-40
,,,,,,,,,,,,,,,,,,CA-45
3394,37,3605,273,2909,0,3264,437,2918,0,2141,0,3292,0,982,0,787,0,CA-22
4905,250,14471,746,4704,100,11514,1488,7444,585,7455,201,9542,373,4993,0,3353,0,CA-09
1559,0,2433,51,1636,302,2825,848,3415,366,4313,68,3491,0,2499,0,2853,0,CA-27
535,0,1589,0,1923,192,2150,337,1779,317,2079,0,2973,61,1894,99,2465,0,CA-14
,,,,,,,,,,,,,,,,,,CA-02
4093,352,10675,586,5341,581,8814,1651,8668,644,7117,800,7159,455,5024,304,3467,122,CO-01
,,,,,,,,,,,,,,,,,,CO-03
,,,,,,,,,,,,,,,,,,CO-04
,,,,,,,,,,,,,,,,,,CO-02
6156,750,13023,1957,7186,640,10553,1441,9986,1638,9295,771,9047,283,4900,0,1882,152,CO-06
24472,311,48726,1163,27576,3300,44443,3692,36035,1886,33129,2029,39681,1275,27106,376,20055,0,DC-98
8601,0,19128,792,14696,990,15399,763,10843,970,12149,1365,14447,194,5455,0,4107,0,CT-03
6149,0,15678,1084,7647,1889,8875,1338,10794,1729,11135,1212,10088,1597,6647,0,4383,176,CT-04
,,,,,,,,,,,,,,,,,,CT-02
3695,0,7346,2165,4080,2233,4592,1186,5640,766,6776,1208,6377,633,4414,106,3116,0,FL-17
6403,837,14927,778,7697,2923,7533,2571,7716,2537,8960,1478,7199,1400,7114,0,4510,0,FL-06
25555,1869,60635,5078,34528,8037,35879,10806,30836,10102,29880,9791,33774,4133,21159,524,13292,0,FL-05
27601,984,56099,5257,24356,10957,35176,17739,29290,14296,30273,10829,31044,9770,28662,381,19912,76,FL-24
3333,59,9982,1740,4701,1040,3483,1585,5155,1933,5636,629,4339,652,5747,16,4124,0,FL-11
7212,0,20465,2482,7977,2961,11860,3798,14996,1577,13645,2667,9416,2813,8653,356,4106,183,FL-23
3338,703,11792,250,6286,1251,4369,1824,8273,1095,6776,844,9399,1388,6326,0,5562,0,FL-08
6021,223,17118,1434,6547,2193,6630,3915,11440,2556,9953,2804,11505,1634,9721,298,5767,136,FL-18
33618,2303,77441,7957,26781,13391,37854,17374,41352,11437,40824,11529,41887,7004,27207,596,18720,1273,FL-20
1506,179,5373,310,3635,266,3248,719,1842,446,3710,1173,4150,683,1797,0,1978,232,FL-25
8307,362,20372,1255,12241,1068,13256,2780,11349,2658,12024,2596,11623,1938,7035,0,5681,0,FL-03
22060,400,45033,2527,19354,5569,22929,9034,25727,6283,22628,6762,21308,3810,15136,654,7984,70,FL-10
6799,77,13072,1041,7467,1919,9389,1358,8652,393,9562,653,6354,1307,5963,564,3673,117,FL-04
5024,167,14767,716,8255,2456,8799,2315,9189,1597,9643,1173,9268,2073,6630,0,4055,0,FL-13
6073,223,15407,1622,4317,2658,8512,2924,8037,3078,7975,2418,8780,2412,5982,353,3726,121,FL-26
8833,815,16937,2213,6597,2922,13894,4717,12011,4374,12131,3385,10623,2561,8893,84,2199,79,FL-22
10090,818,21075,3391,8147,3302,13387,2027,14556,5971,8565,1391,10128,3373,7312,0,6140,0,FL-09
4452,200,11986,1947,5220,1086,5554,1923,8083,2379,6003,470,5715,662,4325,346,2513,396,FL-19
7639,371,16046,627,7907,2864,9495,1996,8019,3096,8462,1469,11164,697,7155,0,4249,0,FL-01
6240,173,15242,1515,11713,2191,11893,3677,8434,2455,10248,1687,7772,770,5428,0,3861,0,FL-07
3150,0,5058,876,3144,1475,4389,1982,3615,973,4100,2261,3901,1358,4080,0,1555,0,FL-27
15118,586,32441,2435,14910,5661,20873,4782,19824,3701,21140,3012,18901,2703,14138,71,7122,0,GA-03
13413,777,37125,864,13976,5732,16130,4233,17796,5198,22219,5793,20711,3159,15000,123,8423,0,GA-10
