Under6Years_WithHealthInsuranceCoverage,Under6Years_NoHealthInsuranceCoverage,6To18Years_WithHealthInsuranceCoverage,6To18Years_NoHealthInsuranceCoverage,19To25Years_WithHealthInsuranceCoverage,19To25Years_NoHealthInsuranceCoverage,26To34Years_WithHealthInsuranceCoverage,26To34Years_NoHealthInsuranceCoverage,35To44Years_WithHealthInsuranceCoverage,35To44Years_NoHealthInsuranceCoverage,45To54Years_WithHealthInsuranceCoverage,45To54Years_NoHealthInsuranceCoverage,55To64Years_WithHealthInsuranceCoverage,55To64Years_NoHealthInsuranceCoverage,65To74Years_WithHealthInsuranceCoverage,65To74Years_NoHealthInsuranceCoverage,75YearsAndOver_WithHealthInsuranceCoverage,75YearsAndOver_NoHealthInsuranceCoverage,stateId
1478,0,1319,0,734,34,1636,214,1596,50,446,577,1750,33,519,0,251,0,CA-06
0,0,1364,718,267,560,599,122,1376,791,870,102,1099,37,209,234,315,0,CA-07
4580,199,8382,362,4628,1233,9032,1589,7031,595,6742,692,5064,384,3128,28,2750,0,HI-01
8170,243,19767,813,5907,1150,10019,1161,12426,1431,8810,848,8942,619,8594,23,4529,235,HI-02
985,100,1930,216,937,446,1764,419,1231,173,1555,130,1492,67,365,0,283,0,WA-10
,,,,,,,,,,,,,,,,,,OH-11
,,,,,,,,,,,,,,,,,,NC-10
,,,,,,,,,,,,,,,,,,IL-04
,,,,,,,,,,,,,,,,,,MO-01
,,,,,,,,,,,,,,,,,,CA-35
,,,,,,,,,,,,,,,,,,MS-01
,,,,,,,,,,,,,,,,,,WA-06
,,,,,,,,,,,,,,,,,,CA-16
,,,,,,,,,,,,,,,,,,WA-09
,,,,,,,,,,,,,,,,,,TN-03
,,,,,,,,,,,,,,,,,,AZ-02
,,,,,,,,,,,,,,,,,,FL-14
,,,,,,,,,,,,,,,,,,NE-03
,,,,,,,,,,,,,,,,,,OH-09
,,,,,,,,,,,,,,,,,,MT-00
,,,,,,,,,,,,,,,,,,FL-01
,,,,,,,,,,,,,,,,,,LA-04
,,,,,,,,,,,,,,,,,,MD-06
,,,,,,,,,,,,,,,,,,CA-24
,,,,,,,,,,,,,,,,,,PA-18
,,,,,,,,,,,,,,,,,,NV-02
,,,,,,,,,,,,,,,,,,FL-05
,,,,,,,,,,,,,,,,,,MI-07
,,,,,,,,,,,,,,,,,,TX-10
,,,,,,,,,,,,,,,,,,OH-16
,,,,,,,,,,,,,,,,,,NJ-08
,,,,,,,,,,,,,,,,,,DC-98
,,,,,,,,,,,,,,,,,,MO-08
,,,,,,,,,,,,,,,,,,NY-09
,,,,,,,,,,,,,,,,,,ME-02
,,,,,,,,,,,,,,,,,,MD-05
,,,,,,,,,,,,,,,,,,VA-08
,,,,,,,,,,,,,,,,,,MS-02
,,,,,,,,,,,,,,,,,,NY-23
,,,,,,,,,,,,,,,,,,NY-13
,,,,,,,,,,,,,,,,,,NE-02
,,,,,,,,,,,,,,,,,,FL-04
,,,,,,,,,,,,,,,,,,WA-03
,,,,,,,,,,,,,,,,,,VA-01
,,,,,,,,,,,,,,,,,,IL-05
,,,,,,,,,,,,,,,,,,MA-02
,,,,,,,,,,,,,,,,,,AL-04
,,,,,,,,,,,,,,,,,,ID-01
,,,,,,,,,,,,,,,,,,CA-30
,,,,,,,,,,,,,,,,,,KS-04
,,,,,,,,,,,,,,,,,,SD-00
,,,,,,,,,,,,,,,,,,TX-26
,,,,,,,,,,,,,,,,,,GA-08
