Under_6_years_With_health_insurance_coverage,Under_6_years_No_health_insurance_coverage,6_to_18_years_With_health_insurance_coverage,6_to_18_years_No_health_insurance_coverage,19_to_25_years_With_health_insurance_coverage,19_to_25_years_No_health_insurance_coverage,26_to_34_years_With_health_insurance_coverage,26_to_34_years_No_health_insurance_coverage,35_to_44_years_With_health_insurance_coverage,35_to_44_years_No_health_insurance_coverage,45_to_54_years_With_health_insurance_coverage,45_to_54_years_No_health_insurance_coverage,55_to_64_years_With_health_insurance_coverage,55_to_64_years_No_health_insurance_coverage,65_to_74_years_With_health_insurance_coverage,65_to_74_years_No_health_insurance_coverage,75_years_and_over_With_health_insurance_coverage,75_years_and_over_No_health_insurance_coverage,stateId
22916,2487,50450,1778,25598,3760,23869,3927,25075,5702,21896,2946,15710,1319,10806,208,5817,13,CA-03
59891,1121,132632,6989,51207,10506,61172,13728,51993,11667,42417,12472,32812,8178,20341,751,13093,355,CA-21
15163,1160,28504,2311,13380,3027,20548,5013,16620,5663,15321,2550,13467,1087,6344,151,3641,0,CA-48
34626,1168,80836,4660,36308,5008,40280,6527,40860,7337,30720,5490,23058,3297,15058,0,8292,0,CA-10
33310,834,77459,4845,38453,13029,46208,23913,38110,18588,37296,18607,32431,8466,23382,1115,14263,436,CA-34
13406,242,22516,1006,10038,1529,16273,1430,11092,1232,11066,1521,5271,1039,4888,0,2817,0,CA-52
18006,1024,39784,1930,18602,5021,28635,6434,29537,4833,25768,6479,16354,2835,10621,261,6556,192,CA-30
13183,628,26657,1831,9596,1292,15545,2010,13494,2626,12316,2611,8668,852,3778,0,3165,196,CA-18
38863,799,95448,3359,39491,6234,43853,10782,41438,15142,34257,9308,27005,4610,17939,192,7745,0,CA-20
34588,377,79726,3566,31193,4864,42655,6898,43787,6785,37212,5761,24162,3616,13240,51,8407,228,CA-42
24152,456,69229,1371,26901,3099,30136,3464,35931,5471,34638,4485,22456,2548,10597,101,8800,0,CA-25
33428,841,78305,2356,41646,5333,47218,8749,50366,10496,44313,10515,38934,6727,27945,852,17634,184,CA-32
36399,854,72936,4238,32869,9392,43032,13732,37013,12534,39071,10828,26038,5947,13989,1060,10907,431,CA-43
46861,1782,114444,4731,53658,8896,65473,12863,61022,15362,50483,13947,43728,5484,23773,1195,16415,769,CA-35
14782,1123,34299,1993,16526,4084,27356,2676,23188,4047,17476,2479,9182,1795,5734,397,3910,94,CA-13
44633,884,101127,6527,48636,12596,59243,15187,49575,16475,44212,18091,39233,8891,29102,896,13691,0,CA-44
16372,704,43697,3170,17912,3978,18229,9194,19840,9301,17659,4400,14426,3826,7114,353,5265,86,CA-49
20443,706,44840,3058,21966,2573,24373,4331,25333,6503,21276,3781,14816,2147,7716,223,4474,0,CA-05
36404,1434,93649,5384,45789,12344,51956,16559,52613,16946,46432,14637,40791,6715,24433,216,13345,324,CA-29
12201,135,28496,1868,13180,802,16129,2927,14289,2616,14008,1397,11395,638,6667,0,3426,0,CA-07
20728,0,46598,1830,26385,2097,25967,5031,25947,4673,26711,3167,19568,2132,13662,393,10474,45,CA-39
27504,729,53292,1902,23694,6446,24348,6172,25750,6544,23997,5385,18658,4097,7930,306,5252,88,CA-50
31024,282,71392,2673,26400,4755,35856,7601,34400,5117,26671,5355,19212,2858,12817,42,7177,75,CA-23
44994,2437,101670,6990,43686,11349,55263,15506,55155,14491,46610,13003,40168,8251,28373,1359,22164,504,CA-51
