Under_6_years_With_health_insurance_coverage,Under_6_years_No_health_insurance_coverage,6_to_18_years_With_health_insurance_coverage,6_to_18_years_No_health_insurance_coverage,19_to_25_years_With_health_insurance_coverage,19_to_25_years_No_health_insurance_coverage,26_to_34_years_With_health_insurance_coverage,26_to_34_years_No_health_insurance_coverage,35_to_44_years_With_health_insurance_coverage,35_to_44_years_No_health_insurance_coverage,45_to_54_years_With_health_insurance_coverage,45_to_54_years_No_health_insurance_coverage,55_to_64_years_With_health_insurance_coverage,55_to_64_years_No_health_insurance_coverage,65_to_74_years_With_health_insurance_coverage,65_to_74_years_No_health_insurance_coverage,75_years_and_over_With_health_insurance_coverage,75_years_and_over_No_health_insurance_coverage,stateId
2457,394,6578,173,4597,746,3525,1268,4523,980,4650,316,3462,181,2172,39,643,13,CA-03
12332,435,28682,1321,10842,2965,13954,4704,13526,2740,11517,3905,10747,2409,4509,259,3817,0,CA-21
8330,948,15829,1746,5497,1992,10565,4029,9692,3740,7324,1434,5443,499,2359,0,875,0,CA-48
2738,163,7800,401,5397,399,4994,987,6345,963,4334,572,4201,330,2316,0,1587,0,CA-10
19516,436,44580,3079,21157,6989,25175,15556,21165,12381,21772,11422,18812,5977,13011,737,6270,288,CA-34
1093,0,3510,182,2387,525,5185,361,2616,683,3200,210,1710,147,1376,0,427,0,CA-52
10460,551,23171,1536,9428,3104,16329,5185,16926,3323,11453,3999,8278,2304,3274,105,2346,0,CA-30
4014,122,7844,657,2887,310,4833,784,5356,705,4596,705,2309,564,850,0,691,137,CA-18
21682,334,49677,1809,17460,4463,23889,7394,20643,10251,17655,5167,11875,2279,7561,192,4168,0,CA-20
9822,0,27975,1778,12319,2514,14794,2856,17243,3165,20838,2946,9033,2329,5010,51,3912,107,CA-42
3676,164,11448,933,5399,1466,7714,1359,7520,1470,7283,1337,4426,990,1665,49,1003,0,CA-25
11562,409,26389,643,16945,2262,16508,3762,18448,4909,16246,5632,12725,3178,8008,610,4011,96,CA-32
11140,453,25901,1742,12380,3919,16847,5068,13242,4492,12846,5759,10481,2608,5011,540,3345,187,CA-43
15877,557,44560,1697,23964,3701,26374,5559,26610,7099,19962,6396,16893,2464,8223,482,6477,537,CA-35
7216,1123,19867,1964,8943,3487,15336,2133,13284,3239,10280,1835,5005,1402,3374,397,1982,94,CA-13
14980,421,40341,3032,20228,5605,21489,6778,21195,6115,19676,8146,15416,3311,11595,549,4707,0,CA-44
902,112,3613,222,1384,436,3042,1230,1985,586,1948,665,2270,127,897,296,1089,0,CA-49
8178,130,18800,2034,10018,986,11080,2634,12380,3932,7998,2752,5755,1510,2269,223,883,0,CA-05
15415,423,35683,2716,18144,5821,19599,8301,20585,8132,19810,6297,13596,2843,7854,106,3673,236,CA-29
2640,0,8577,232,4076,255,5180,1013,5360,1111,4573,728,3295,36,1529,0,875,0,CA-07
5136,0,12939,989,7462,588,8044,1900,8187,1796,8082,1391,4728,423,2781,66,2362,45,CA-39
2829,0,7328,164,4159,855,6002,1117,5306,890,4162,1022,3728,378,1588,0,961,0,CA-50
6639,187,13121,787,7632,1771,9131,1554,8607,1846,8173,2664,4473,792,4045,0,1084,75,CA-23
