Under_6_years_With_health_insurance_coverage,Under_6_years_No_health_insurance_coverage,6_to_18_years_With_health_insurance_coverage,6_to_18_years_No_health_insurance_coverage,19_to_25_years_With_health_insurance_coverage,19_to_25_years_No_health_insurance_coverage,26_to_34_years_With_health_insurance_coverage,26_to_34_years_No_health_insurance_coverage,35_to_44_years_With_health_insurance_coverage,35_to_44_years_No_health_insurance_coverage,45_to_54_years_With_health_insurance_coverage,45_to_54_years_No_health_insurance_coverage,55_to_64_years_With_health_insurance_coverage,55_to_64_years_No_health_insurance_coverage,65_to_74_years_With_health_insurance_coverage,65_to_74_years_No_health_insurance_coverage,75_years_and_over_With_health_insurance_coverage,75_years_and_over_No_health_insurance_coverage,stateId
19719,425,45389,935,30404,889,35874,2632,35902,1523,39696,2274,49824,2128,41726,0,30344,0,CA-03
6733,18,14466,71,6930,366,12948,1009,12140,165,12989,2012,16691,646,13221,74,11417,229,CA-21
17362,636,43990,1490,25281,2087,41521,2407,42616,2811,48707,3777,58142,2412,49079,88,39159,47,CA-48
17154,445,40903,1250,20269,1440,31919,2187,34993,2074,36663,2188,46942,2077,34213,336,26818,0,CA-10
3130,0,4995,126,7148,373,22260,4463,16331,1955,9474,797,7013,295,6333,141,4437,423,CA-34
21551,373,51082,1132,32046,3056,54394,5029,51657,2480,52573,2905,62419,1572,44183,210,34963,67,CA-52
19640,117,38526,1485,23081,2114,41767,3441,47840,1961,51999,4475,57453,3446,45466,263,37956,4,CA-30
19798,241,57316,660,23554,849,40466,1631,45260,2542,56927,2238,59042,1874,45683,211,37704,0,CA-18
10072,288,27797,301,22176,155,22358,2052,26647,1475,27740,1565,43162,1085,40677,67,27982,0,CA-20
21469,1113,47365,1876,19152,1634,32254,5100,36298,3286,41299,2502,46035,3037,33379,287,29396,47,CA-42
13513,506,38756,1564,18559,1507,22462,2371,29473,1612,37044,1511,49050,1844,30130,153,22718,0,CA-25
3229,57,8222,918,8780,751,10596,1476,8688,1677,10332,1106,18308,1353,16554,72,12904,48,CA-32
6271,51,8531,439,7346,433,17301,951,13573,301,13188,864,17288,1040,13165,122,8908,14,CA-43
5004,47,9775,202,7775,423,12809,902,15382,714,12594,910,13835,1042,11261,111,8536,0,CA-35
14272,162,21247,122,20606,481,44093,2097,40543,1147,34458,356,33765,502,29337,493,18374,0,CA-13
1908,163,3081,128,2014,0,4498,287,3923,723,6232,341,7409,462,5279,0,4982,0,CA-44
28158,185,48382,1044,22002,1283,41605,2904,46312,2411,51942,2683,63986,2043,56385,698,37736,0,CA-49
15443,393,32978,873,20440,1110,34077,1868,40877,1781,41640,2498,61544,1716,58029,16,38780,0,CA-05
7123,422,12795,618,10503,877,20083,1965,18177,1703,17324,1899,18332,1417,14854,162,11613,86,CA-29
21024,253,49747,1198,23028,2260,37124,3092,45056,3007,49803,2336,58497,3419,48835,35,33779,81,CA-07
8429,260,22128,788,15139,1462,21093,2918,22139,1645,29074,1867,37409,2059,28232,110,21847,74,CA-39
22732,701,58153,1406,25031,3554,37987,4796,45288,2764,45401,2473,61501,4360,54271,159,38235,196,CA-50
20439,589,44887,1207,21283,1538,32990,3355,39260,1548,35555,1611,48623,2094,39736,256,28012,0,CA-23
4701,0,8370,303,4840,1140,8446,536,8908,964,10753,736,13114,983,11258,0,9479,0,CA-51
28973,674,65034,1998,38921,4734,45734,5739,52723,4041,53852,4389,79568,4407,78454,391,54155,93,CA-01
1451,67,2350,225,587,123,2515,272,2305,334,2773,119,3616,46,3198,0,2454,0,CA-40
19436,287,46482,1942,27104,1656,41691,4683,41424,2230,53430,1437,63238,1945,46438,96,37288,0,CA-45
15984,159,39076,626,18914,1646,29145,2299,31113,929,30507,2533,38134,1498,34339,0,25304,205,CA-22
14350,0,31790,1194,15015,396,24671,1782,27725,1203,30607,1340,34555,2371,32622,276,23217,0,CA-09
8560,230,18348,43,12486,469,18904,988,19384,1054,26834,753,27497,1240,22412,92,22109,56,CA-27
11208,161,25278,969,15368,748,27365,2855,28026,1322,33339,533,36443,1480,32225,41,25161,0,CA-14
