WithAnInternetSubscription,WithAnInternetSubscription_Dial_upWithNoOtherTypeOfInternetSubscription,WithAnInternetSubscription_BroadbandOfAnyType,WithAnInternetSubscription_CellularDataPlan,WithAnInternetSubscription_CellularDataPlan_CellularDataPlanWithNoOtherTypeOfInternetSubscription,WithAnInternetSubscription_BroadbandSuchAsCable_FiberOpticOrDSL,WithAnInternetSubscription_BroadbandSuchAsCable_FiberOpticOrDSL_BroadbandSuchAsCable_FiberOpticOrDSLWithNoOtherTypeOfInternetSubscription,WithAnInternetSubscription_SatelliteInternetService,WithAnInternetSubscription_SatelliteInternetService_SatelliteInternetServiceWithNoOtherTypeOfInternetSubscription,WithAnInternetSubscription_OtherServiceWithNoOtherTypeOfInternetSubscription,InternetAccessWithoutASubscription,NoInternetAccess,stateId
230144,491,229653,215602,34479,184294,11318,20446,1851,66,4290,20721,CA-03
150884,354,150530,127659,41162,100448,20489,13440,1531,191,4716,41017,CA-21
247667,563,247104,225013,23045,216995,20685,18992,713,0,3099,14033,CA-48
212038,345,211693,201504,31019,164890,7830,26158,1538,182,3941,22936,CA-10
212589,113,212476,198746,37607,170389,12618,11391,631,27,5977,38783,CA-34
272665,247,272418,255997,19121,248213,15384,13394,476,0,4267,10762,CA-52
263201,617,262584,245742,25136,231188,15323,25586,377,0,4503,15221,CA-30
254366,166,254200,240421,15325,234020,12500,12032,681,110,5225,12267,CA-18
206521,244,206277,194422,34334,161317,8827,20872,1275,283,4438,20173,CA-20
218287,320,217967,190078,18309,190976,22565,19175,2579,244,3559,14177,CA-42
200814,749,200065,169088,24280,168745,26409,18678,1777,0,5504,14764,CA-25
174086,333,173753,166236,22788,142280,5921,26217,445,0,2623,25733,CA-32
219736,137,219599,207868,36142,177644,9196,18361,462,69,5445,20922,CA-43
178151,86,178065,143363,22683,148351,33799,17101,429,0,7398,16420,CA-35
258889,587,258302,245355,26688,225554,11400,13225,934,244,6331,29676,CA-13
162666,374,162292,143130,30941,125597,12587,25103,645,49,6089,22275,CA-44
239906,358,239548,224454,14982,217912,13563,20036,821,93,3824,10173,CA-49
248077,1128,246949,226092,26453,208343,17623,21335,1666,377,4469,16134,CA-05
185844,288,185556,171462,24022,156283,12097,15769,1398,32,3395,22632,CA-29
251471,617,250854,229806,22475,219582,18380,22208,1141,203,5501,15799,CA-07
217223,366,216857,187530,23652,185930,27784,20044,690,52,2209,10305,CA-39
227796,86,227710,210680,23054,189359,13510,29695,2211,356,4999,12762,CA-50
216119,637,215482,192767,29506,171309,17665,24243,3615,364,5258,26283,CA-23
177267,227,177040,164102,33933,136812,11844,12627,259,0,4047,26537,CA-51
234474,1139,233335,202119,33747,170146,23822,38184,5113,717,6144,30705,CA-01
149317,243,149074,123952,31929,110956,20390,20062,1143,0,4170,25933,CA-40
269240,209,269031,251758,20600,243555,15960,20274,681,0,3631,9094,CA-45
215168,364,214804,194568,30331,172158,16981,21756,2454,36,5658,30170,CA-22
213782,555,213227,201092,37348,167392,10132,16229,1262,0,3791,24191,CA-09
220014,155,219859,206791,20591,177597,11111,33560,1091,64,3684,19999,CA-27
238052,190,237862,224972,20573,212108,11084,13594,765,165,3078,14000,CA-14
257559,563,256996,227317,25414,211909,24186,25132,4245,69,4182,24119,CA-02
338615,512,338103,315169,33368,296305,20746,16873,497,50,8392,21491,CO-01
257942,1506,256436,219289,35667,196880,30235,32197,4437,314,7381,38465,CO-03
291042,561,290481,270122,30290,237253,16710,35343,2134,365,6019,21630,CO-04
310386,945,309441,285219,28145,264912,20386,25936,2278,193,8239,15149,CO-02
283973,657,283316,264625,27523,248216,15901,17027,702,566,4585,12929,CO-06
255110,664,254446,240688,24201,227059,13320,7279,285,0,7606,28854,DC-98
247491,777,246714,213747,27757,214899,31130,7953,553,117,5587,26026,CT-03
241596,294,241302,217625,23319,215241,22731,7964,200,138,3589,18803,CT-04
251719,593,251126,226658,23013,222560,22563,12841,615,129,5280,21656,CT-02
261336,711,260625,228618,42938,206124,26492,21259,2463,168,7541,41382,FL-17
262156,556,261600,224620,50524,189629,32915,17057,1632,1029,13328,35490,FL-06
231044,148,230896,202697,49950,172176,24771,15335,1510,0,7924,42540,FL-05
186779,179,186600,147567,23674,156064,36303,14813,1507,248,12400,55073,FL-24
300675,959,299716,256377,29022,253006,36369,28667,2723,539,6969,33036,FL-11
251011,160,250851,229565,25140,220470,18669,21465,998,282,7314,18935,FL-23
266055,797,265258,231956,28381,228054,29194,18908,1913,0,5956,27574,FL-08
274775,211,274564,252931,29673,234756,19676,21804,710,0,6638,22887,FL-18
